"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-983189"	"Kinesins"	"2/33"	"59/10654"	0.014259061378231	0.30080365294254	0.273757710463057	"3835/29127"	2
"R-HSA-112382"	"Formation of RNA Pol II elongation complex "	"2/33"	"61/10654"	0.015192260189083	0.30080365294254	0.273757710463057	"85403/4300"	2
"R-HSA-75955"	"RNA Polymerase II Transcription Elongation"	"2/33"	"61/10654"	0.015192260189083	0.30080365294254	0.273757710463057	"85403/4300"	2
"R-HSA-72163"	"mRNA Splicing - Major Pathway"	"3/33"	"183/10654"	0.0186389569840207	0.30080365294254	0.273757710463057	"57703/6631/10250"	3
"R-HSA-72172"	"mRNA Splicing"	"3/33"	"191/10654"	0.0208557070881891	0.30080365294254	0.273757710463057	"57703/6631/10250"	3
"R-HSA-381340"	"Transcriptional regulation of white adipocyte differentiation"	"2/33"	"84/10654"	0.0276912439993036	0.30080365294254	0.273757710463057	"2033/90390"	2
"R-HSA-674695"	"RNA Polymerase II Pre-transcription Events"	"2/33"	"84/10654"	0.0276912439993036	0.30080365294254	0.273757710463057	"85403/4300"	2
"R-HSA-9617629"	"Regulation of FOXO transcriptional activity by acetylation"	"1/33"	"10/10654"	0.0305588260532701	0.30080365294254	0.273757710463057	"2033"	1
"R-HSA-1234158"	"Regulation of gene expression by Hypoxia-inducible Factor"	"1/33"	"11/10654"	0.0335644215756534	0.30080365294254	0.273757710463057	"2033"	1
"R-HSA-2197563"	"NOTCH2 intracellular domain regulates transcription"	"1/33"	"12/10654"	0.0365609802609866	0.30080365294254	0.273757710463057	"2033"	1
"R-HSA-73817"	"Purine ribonucleoside monophosphate biosynthesis"	"1/33"	"12/10654"	0.0365609802609866	0.30080365294254	0.273757710463057	"5471"	1
"R-HSA-8866907"	"Activation of the TFAP2 (AP-2) family of transcription factors"	"1/33"	"12/10654"	0.0365609802609866	0.30080365294254	0.273757710463057	"2033"	1
"R-HSA-6811434"	"COPI-dependent Golgi-to-ER retrograde traffic"	"2/33"	"99/10654"	0.0374453446302564	0.30080365294254	0.273757710463057	"3835/29127"	2
"R-HSA-72203"	"Processing of Capped Intron-Containing Pre-mRNA"	"3/33"	"244/10654"	0.0390773971732315	0.30080365294254	0.273757710463057	"57703/6631/10250"	3
"R-HSA-2564830"	"Cytosolic iron-sulfur cluster assembly"	"1/33"	"13/10654"	0.0395485284334527	0.30080365294254	0.273757710463057	"83990"	1
"R-HSA-3371568"	"Attenuation phase"	"1/33"	"14/10654"	0.0425270923430195	0.30080365294254	0.273757710463057	"2033"	1
"R-HSA-399955"	"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion"	"1/33"	"14/10654"	0.0425270923430195	0.30080365294254	0.273757710463057	"55558"	1
"R-HSA-8849471"	"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases"	"1/33"	"14/10654"	0.0425270923430195	0.30080365294254	0.273757710463057	"5921"	1
"R-HSA-8941856"	"RUNX3 regulates NOTCH signaling"	"1/33"	"14/10654"	0.0425270923430195	0.30080365294254	0.273757710463057	"2033"	1
"R-HSA-918233"	"TRAF3-dependent IRF activation pathway"	"1/33"	"14/10654"	0.0425270923430195	0.30080365294254	0.273757710463057	"2033"	1
"R-HSA-8956320"	"Nucleobase biosynthesis"	"1/33"	"15/10654"	0.0454966981656399	0.30080365294254	0.273757710463057	"5471"	1
"R-HSA-156711"	"Polo-like kinase mediated events"	"1/33"	"16/10654"	0.0484573720034563	0.30080365294254	0.273757710463057	"2033"	1
"R-HSA-210744"	"Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells"	"1/33"	"16/10654"	0.0484573720034563	0.30080365294254	0.273757710463057	"2033"	1
"R-HSA-399954"	"Sema3A PAK dependent Axon repulsion"	"1/33"	"16/10654"	0.0484573720034563	0.30080365294254	0.273757710463057	"55558"	1
"R-HSA-399956"	"CRMPs in Sema3A signaling"	"1/33"	"16/10654"	0.0484573720034563	0.30080365294254	0.273757710463057	"55558"	1
"R-HSA-9614657"	"FOXO-mediated transcription of cell death genes"	"1/33"	"16/10654"	0.0484573720034563	0.30080365294254	0.273757710463057	"2033"	1
"R-HSA-1989781"	"PPARA activates gene expression"	"2/33"	"117/10654"	0.0506161944721823	0.30080365294254	0.273757710463057	"2033/90390"	2
"R-HSA-3781860"	"Diseases associated with N-glycosylation of proteins"	"1/33"	"17/10654"	0.0514091398850027	0.30080365294254	0.273757710463057	"7841"	1
"R-HSA-400206"	"Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)"	"2/33"	"119/10654"	0.0521702933741141	0.30080365294254	0.273757710463057	"2033/90390"	2
"R-HSA-1368082"	"RORA activates gene expression"	"1/33"	"18/10654"	0.0543520277654003	0.30080365294254	0.273757710463057	"2033"	1
"R-HSA-1369062"	"ABC transporters in lipid homeostasis"	"1/33"	"18/10654"	0.0543520277654003	0.30080365294254	0.273757710463057	"8504"	1
"R-HSA-6804114"	"TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest"	"1/33"	"18/10654"	0.0543520277654003	0.30080365294254	0.273757710463057	"2033"	1
"R-HSA-2132295"	"MHC class II antigen presentation"	"2/33"	"123/10654"	0.055329728456208	0.30080365294254	0.273757710463057	"3835/29127"	2
"R-HSA-6804760"	"Regulation of TP53 Activity through Methylation"	"1/33"	"19/10654"	0.0572860615265651	0.30080365294254	0.273757710463057	"2033"	1
"R-HSA-8978934"	"Metabolism of cofactors"	"1/33"	"20/10654"	0.0602112669773994	0.30080365294254	0.273757710463057	"84274"	1
"R-HSA-9013695"	"NOTCH4 Intracellular Domain Regulates Transcription"	"1/33"	"20/10654"	0.0602112669773994	0.30080365294254	0.273757710463057	"2033"	1
"R-HSA-9603798"	"Class I peroxisomal membrane protein import"	"1/33"	"20/10654"	0.0602112669773994	0.30080365294254	0.273757710463057	"8504"	1
"R-HSA-5218921"	"VEGFR2 mediated cell proliferation"	"1/33"	"21/10654"	0.0631276698539973	0.30080365294254	0.273757710463057	"5921"	1
"R-HSA-5621575"	"CD209 (DC-SIGN) signaling"	"1/33"	"21/10654"	0.0631276698539973	0.30080365294254	0.273757710463057	"2033"	1
"R-HSA-8856688"	"Golgi-to-ER retrograde transport"	"2/33"	"133/10654"	0.0635153619653688	0.30080365294254	0.273757710463057	"3835/29127"	2
"R-HSA-5205685"	"Pink/Parkin Mediated Mitophagy"	"1/33"	"22/10654"	0.0660352958198414	0.30080365294254	0.273757710463057	"51001"	1
"R-HSA-71403"	"Citric acid cycle (TCA cycle)"	"1/33"	"22/10654"	0.0660352958198414	0.30080365294254	0.273757710463057	"3419"	1
"R-HSA-194840"	"Rho GTPase cycle"	"2/33"	"138/10654"	0.0677546020563711	0.30080365294254	0.273757710463057	"29127/85360"	2
"R-HSA-2173795"	"Downregulation of SMAD2/3:SMAD4 transcriptional activity"	"1/33"	"23/10654"	0.0689341704659987	0.30080365294254	0.273757710463057	"51592"	1
"R-HSA-3371571"	"HSF1-dependent transactivation"	"1/33"	"24/10654"	0.0718243193113213	0.306450429061637	0.278896772062674	"2033"	1
"R-HSA-9013508"	"NOTCH3 Intracellular Domain Regulates Transcription"	"1/33"	"25/10654"	0.0747057678026405	0.311815378654499	0.283779346801792	"2033"	1
"R-HSA-5693554"	"Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)"	"1/33"	"26/10654"	0.0775785413149668	0.316916594307949	0.288421900521489	"83990"	1
"R-HSA-186763"	"Downstream signal transduction"	"1/33"	"29/10654"	0.0861450646548459	0.328554057495443	0.299013012852212	"5921"	1
"R-HSA-5205647"	"Mitophagy"	"1/33"	"29/10654"	0.0861450646548459	0.328554057495443	0.299013012852212	"51001"	1
"R-HSA-933541"	"TRAF6 mediated IRF7 activation"	"1/33"	"29/10654"	0.0861450646548459	0.328554057495443	0.299013012852212	"2033"	1
