"SYMBOL"	"ENTREZID"
"AC008695.1"	NA
"ACTR8"	"93973"
"ADAD1"	"132612"
"ADGRL2"	"23266"
"ADM"	"133"
"ADNP2"	"22850"
"AJUBA"	"84962"
"AMOT"	"154796"
"ANAPC2"	"29882"
"ANKRD13B"	"124930"
"ANOS1"	"3730"
"ARHGEF3"	"50650"
"ARHGEF6"	"9459"
"ARID4A"	"5926"
"ASCC1"	"51008"
"ASPM"	"259266"
"ATG3"	"64422"
"ATP11B"	"23200"
"ATRIP"	"84126"
"AXL"	"558"
"BACE2"	"25825"
"BBX"	"56987"
"BCL2L1"	"598"
"BCORL1"	"63035"
"BLNK"	"29760"
"BNC2"	"54796"
"BOP1"	"23246"
"BRINP2"	"57795"
"BRPF1"	"7862"
"C12orf45"	"121053"
"C1QBP"	"708"
"C2CD2L"	"9854"
"CACHD1"	"57685"
"CACNA2D2"	"9254"
"CACNA2D3"	"55799"
"CADM1"	"23705"
"CADM4"	"199731"
"CALY"	"50632"
"CAMSAP1"	"157922"
"CAPRIN1"	"4076"
"CBX4"	"8535"
"CCAR2"	"57805"
"CCDC12"	"151903"
"CCDC65"	"85478"
"CDH9"	"1007"
"CDK4"	"1019"
"CDX1"	"1044"
"CELF4"	"56853"
"CENPF"	"1063"
"CFAP298"	"56683"
"CLCN4"	"1183"
"CLEC18C"	"283971"
"CLSTN1"	"22883"
"CLSTN3"	"9746"
"CMTR2"	"55783"
"CNKSR2"	"22866"
"CNTROB"	"116840"
"COG1"	"9382"
"COL4A5"	"1287"
"COL5A1"	"1289"
"COMTD1"	"118881"
"COPS4"	"51138"
"CPEB4"	"80315"
"CRMP1"	"1400"
"CYFIP2"	"26999"
"DAZL"	"1618"
"DBP"	"1628"
"DCAF6"	"55827"
"DDN"	"23109"
"DDX19A"	"55308"
"DDX59"	"83479"
"DHX8"	"1659"
"DIAPH2"	"1730"
"DIP2B"	"57609"
"DLGAP3"	"58512"
"DNAJC11"	"55735"
"DPP9"	"91039"
"DYNC1LI1"	"51143"
"EHMT1"	"79813"
"EIF3H"	"8667"
"EOMES"	"8320"
"ERBB3"	"2065"
"ERGIC1"	"57222"
"ESCO1"	"114799"
"EXOC7"	"23265"
"FAF2"	"23197"
"FAM110A"	"83541"
"FAM122A"	"116224"
"FAM47A"	"158724"
"FAM98B"	"283742"
"FBXL16"	"146330"
"FBXW4"	"6468"
"FERMT2"	"10979"
"FOXA2"	"3170"
"FOXD3"	"27022"
"FTCD"	"10841"
"FZD4"	"8322"
"G2E3"	"55632"
"GAD2"	"2572"
"GMPPB"	"29925"
"GNAL"	"2774"
"GNL2"	"29889"
"GNS"	"2799"
"GPBP1"	"65056"
"GPX4"	"2879"
"GRIP1"	"23426"
"GTF2E1"	"2960"
"GTF2H1"	"2965"
"HAP1"	"9001"
"HARS2"	"23438"
"HAUS1"	"115106"
"HAUS3"	"79441"
"HDAC6"	"10013"
"HEATR1"	"55127"
"HERPUD2"	"64224"
"HES3"	"390992"
"HKDC1"	"80201"
"HNRNPA0"	"10949"
"HNRNPDL"	"9987"
"HOXA13"	"3209"
"HOXB4"	"3214"
"HUS1"	"3364"
"HYLS1"	"219844"
"ICMT"	"23463"
"IGFBP3"	"3486"
"IGLON5"	"402665"
"IGSF9B"	"22997"
"IKZF3"	"22806"
"INTS13"	"55726"
"IRX1"	"79192"
"ITPKB"	"3707"
"JAKMIP1"	"152789"
"JPH1"	"56704"
"KAT6B"	"23522"
"KCNAB2"	"8514"
"KCNN2"	"3781"
"KDM1A"	"23028"
"KDM1B"	"221656"
"KDM5B"	"10765"
"KDM5C"	"8242"
"KLF1"	"10661"
"KLK13"	"26085"
"KRT19"	"3880"
"KSR2"	"283455"
"LARS1"	"51520"
"LBX1"	"10660"
"LCMT1"	"51451"
"LMO2"	"4005"
"LONRF1"	"91694"
"LRFN4"	"78999"
"LSM4"	"25804"
"MAD2L2"	"10459"
"MAP4"	"4134"
"MAPK1"	"5594"
"MAPKBP1"	"23005"
"MBNL1"	"4154"
"MCM2"	"4171"
"MECOM"	"2122"
"MED1"	"5469"
"MED24"	"9862"
"MED26"	"9441"
"MED8"	"112950"
"METTL17"	"64745"
"MGP"	"4256"
"MKKS"	"8195"
"MMP14"	"4323"
"MRPL15"	"29088"
"MRPL34"	"64981"
"MRPL37"	"51253"
"MRPL45"	"84311"
"MRPS15"	"64960"
"MRPS21"	"54460"
"MRPS23"	"51649"
"MRPS28"	"28957"
"MSH4"	"4438"
"MSN"	"4478"
"MTG1"	"92170"
"MTMR12"	"54545"
"MUS81"	"80198"
"MYH10"	"4628"
"MYRF"	"745"
"N6AMT1"	"29104"
"NEDD4L"	"23327"
"NETO1"	"81832"
"NFIB"	"4781"
"NIPBL"	"25836"
"NOL8"	"55035"
"NOP56"	"10528"
"NOS1"	"4842"
"NUBP2"	"10101"
"NUFIP2"	"57532"
"NUP155"	"9631"
"NUSAP1"	"51203"
"NVL"	"4931"
"NXF1"	"10482"
"NXN"	"64359"
"OPN3"	"23596"
"OR2T8"	"343172"
"OR8B4"	"283162"
"OXA1L"	"5018"
"PAIP1"	"10605"
"PAK3"	"5063"
"PARS2"	"25973"
"PCBP2"	"5094"
"PCDH11X"	"27328"
"PDE8B"	"8622"
"PDGFRA"	"5156"
"PDSS1"	"23590"
"PEX10"	"5192"
"PEX14"	"5195"
"PEX26"	"55670"
"PGR"	"5241"
"PITPNC1"	"26207"
"PITPNM2"	"57605"
"PLAU"	"5328"
"PLEC"	"5339"
"PLEKHF2"	"79666"
"PLPP7"	"84814"
"PLXNA3"	"55558"
"POLA2"	"23649"
"POLG2"	"11232"
"PPAT"	"5471"
"PPP1R15B"	"84919"
"PPP4R1"	"9989"
"PPP4R2"	"151987"
"PPP6R1"	"22870"
"PROSER1"	"80209"
"PSD"	"5662"
"PSMD3"	"5709"
"PSMG1"	"8624"
"RAB11FIP2"	"22841"
"RAB21"	"23011"
"RAD9B"	"144715"
"RANBP1"	"5902"
"RAPGEF1"	"2889"
"RAPGEF6"	"51735"
"RBFOX1"	"54715"
"RBM19"	"9904"
"RCHY1"	"25898"
"RIC1"	"57589"
"RNF17"	"56163"
"ROR2"	"4920"
"RP2"	"6102"
"RPL10"	"6134"
"RSBN1"	"54665"
"RUNDC1"	"146923"
"RUVBL2"	"10856"
"RYK"	"6259"
"SAMD4B"	"55095"
"SASS6"	"163786"
"SATB1"	"6304"
"SDF2L1"	"23753"
"SDHB"	"6390"
"SDHD"	"6392"
"SEC16A"	"9919"
"SEC23B"	"10483"
"SEC24C"	"9632"
"SERPINB5"	"5268"
"SERPINI1"	"5274"
"SH3KBP1"	"30011"
"SHQ1"	"55164"
"SLC12A2"	"6558"
"SLC25A22"	"79751"
"SLC39A13"	"91252"
"SMAD7"	"4092"
"SNX30"	"401548"
"SOX13"	"9580"
"SOX17"	"64321"
"SOX4"	"6659"
"SP1"	"6667"
"SP7"	"121340"
"SRPRB"	"58477"
"STX4"	"6810"
"SUPT16H"	"11198"
"SURF1"	"6834"
"SURF6"	"6838"
"TAB3"	"257397"
"TAOK3"	"51347"
"TAZ"	"6901"
"TBX2"	"6909"
"TBX4"	"9496"
"TDRD5"	"163589"
"TFB2M"	"64216"
"TGFBR2"	"7048"
"THRB"	"7068"
"TIGD3"	"220359"
"TINF2"	"26277"
"TKT"	"7086"
"TLE6"	"79816"
"TLK2"	"11011"
"TM9SF4"	"9777"
"TOPORS"	"10210"
"TRAPPC13"	"80006"
"TRAPPC9"	"83696"
"TRMT1L"	"81627"
"TSC22D2"	"9819"
"TSKS"	"60385"
"TSPYL2"	"64061"
"TUT7"	"79670"
"TXLNG"	"55787"
"TXNDC17"	"84817"
"TXNL1"	"9352"
"TXNRD1"	"7296"
"UMPS"	"7372"
"UTP25"	"27042"
"WDR13"	"64743"
"WDR47"	"22911"
"WDR83"	"84292"
"WDTC1"	"23038"
"WNK3"	"65267"
"WRN"	"7486"
"XIAP"	"331"
"XYLT2"	"64132"
"ZC3H12C"	"85463"
"ZMIZ2"	"83637"
"ZNF182"	"7569"
"ZNF281"	"23528"
"ZNF346"	"23567"
"ZNF362"	"149076"
"ZNF445"	"353274"
"ZNF536"	"9745"
"ZPR1"	"8882"
