"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-5368286"	"Mitochondrial translation initiation"	"8/201"	"87/10654"	0.000227839391232199	0.0574155265905142	0.0560404958785164	"29088/64981/51253/64960/54460/51649/28957/5018"	8
"R-HSA-5389840"	"Mitochondrial translation elongation"	"8/201"	"87/10654"	0.000227839391232199	0.0574155265905142	0.0560404958785164	"29088/64981/51253/64960/54460/51649/28957/5018"	8
"R-HSA-5419276"	"Mitochondrial translation termination"	"8/201"	"87/10654"	0.000227839391232199	0.0574155265905142	0.0560404958785164	"29088/64981/51253/64960/54460/51649/28957/5018"	8
"R-HSA-5368287"	"Mitochondrial translation"	"8/201"	"93/10654"	0.000360637323824376	0.0610781473353912	0.0596154013953066	"29088/64981/51253/64960/54460/51649/28957/5018"	8
"R-HSA-72766"	"Translation"	"15/201"	"291/10654"	0.000403956000895444	0.0610781473353912	0.0596154013953066	"8667/23438/51520/29088/64981/51253/64960/54460/51649/28957/29104/5018/25973/6134/58477"	15
"R-HSA-111471"	"Apoptotic factor-mediated response"	"3/201"	"18/10654"	0.00437982569920552	0.471531474711315	0.46023888021809	"708/5594/331"	3
"R-HSA-176187"	"Activation of ATR in response to replication stress"	"4/201"	"37/10654"	0.00498975105514619	0.471531474711315	0.46023888021809	"84126/3364/4171/144715"	4
"R-HSA-5685938"	"HDR through Single Strand Annealing (SSA)"	"4/201"	"37/10654"	0.00498975105514619	0.471531474711315	0.46023888021809	"84126/3364/144715/7486"	4
"R-HSA-5693616"	"Presynaptic phase of homologous DNA pairing and strand exchange"	"4/201"	"39/10654"	0.00603512581700132	0.495247408367075	0.483386846651795	"84126/3364/144715/7486"	4
"R-HSA-5674135"	"MAP2K and MAPK activation"	"4/201"	"40/10654"	0.00660850234135312	0.495247408367075	0.483386846651795	"22866/283455/5594/84292"	4
"R-HSA-3769402"	"Deactivation of the beta-catenin transactivating complex"	"4/201"	"42/10654"	0.00786106997408055	0.495247408367075	0.483386846651795	"9580/64321/6659/331"	4
"R-HSA-5693579"	"Homologous DNA Pairing and Strand Exchange"	"4/201"	"42/10654"	0.00786106997408055	0.495247408367075	0.483386846651795	"84126/3364/144715/7486"	4
"R-HSA-5685942"	"HDR through Homologous Recombination (HRR)"	"5/201"	"67/10654"	0.00852738410975445	0.495900183613413	0.484023988739908	"84126/3364/80198/144715/7486"	5
