"SYMBOL"	"ENTREZID"
"ABCA2"	"20"
"ABCF2"	"10061"
"AC008695.1"	NA
"ACSL4"	"2182"
"ACVR1"	"90"
"ADAM22"	"53616"
"ADAMTS2"	"9509"
"AFDN"	"4301"
"AGAP3"	"116988"
"AGO4"	"192670"
"AHCY"	"191"
"ALAS1"	"211"
"ALDOA"	"226"
"ALG12"	"79087"
"ALG9"	"79796"
"ALX1"	"8092"
"AMBRA1"	"55626"
"ANKHD1"	"54882"
"APEX1"	"328"
"ARHGAP1"	"392"
"ARHGAP21"	"57584"
"ARHGAP31"	"57514"
"ARHGEF2"	"9181"
"ASCL2"	"430"
"ASPM"	"259266"
"ASTN1"	"460"
"ATAD2B"	"54454"
"ATF7IP"	"55729"
"ATG4B"	"23192"
"ATP13A3"	"79572"
"ATP6V1B2"	"526"
"ATP6V1F"	"9296"
"ATXN2L"	"11273"
"AURKB"	"9212"
"BARD1"	"580"
"BBS4"	"585"
"BHLHE40"	"8553"
"BIN1"	"274"
"BNIP1"	"662"
"BORA"	"79866"
"BRINP1"	"1620"
"BRIP1"	"83990"
"BTF3"	"689"
"BUB1"	"699"
"CACNA1I"	"8911"
"CASP9"	"842"
"CCDC22"	"28952"
"CCDC6"	"8030"
"CDC42BPA"	"8476"
"CDC6"	"990"
"CEBPZ"	"10153"
"CELSR1"	"9620"
"CENPH"	"64946"
"CFAP298"	"56683"
"CFAP47"	"286464"
"CHTOP"	"26097"
"CINP"	"51550"
"CLASP1"	"23332"
"CLK3"	"1198"
"CLSTN3"	"9746"
"CLUH"	"23277"
"CMPK1"	"51727"
"COL4A1"	"1282"
"COL4A5"	"1287"
"COL5A1"	"1289"
"COP1"	"64326"
"COPG1"	"22820"
"COPS4"	"51138"
"COQ2"	"27235"
"COQ5"	"84274"
"COX19"	"90639"
"CPT1A"	"1374"
"CRNKL1"	"51340"
"CRY2"	"1408"
"CSNK1G1"	"53944"
"CSTB"	"1476"
"CTNNA2"	"1496"
"CUL2"	"8453"
"CWC22"	"57703"
"DBN1"	"1627"
"DBR1"	"51163"
"DCLK1"	"9201"
"DCP2"	"167227"
"DCTN5"	"84516"
"DDHD1"	"80821"
"DDN"	"23109"
"DDX19A"	"55308"
"DDX20"	"11218"
"DEPDC5"	"9681"
"DGKA"	"1606"
"DHX35"	"60625"
"DIP2B"	"57609"
"DLG1"	"1739"
"DLST"	"1743"
"DNLZ"	"728489"
"DOLK"	"22845"
"DVL1"	"1855"
"DYNC1LI1"	"51143"
"DYRK2"	"8445"
"E4F1"	"1877"
"EAF1"	"85403"
"ECE1"	"1889"
"ECEL1"	"9427"
"EGLN1"	"54583"
"EIF3I"	"8668"
"EIF5B"	"9669"
"ELMO1"	"9844"
"ELP5"	"23587"
"EML1"	"2009"
"ENDOG"	"2021"
"EOMES"	"8320"
"EP300"	"2033"
"EPC2"	"26122"
"EPHB1"	"2047"
"ESCO1"	"114799"
"EXOC7"	"23265"
"FAM193B"	"54540"
"FAM98B"	"283742"
"FANCE"	"2178"
"FBLN1"	"2192"
"FBXO30"	"84085"
"FITM2"	"128486"
"FLAD1"	"80308"
"FLVCR2"	"55640"
"FMN2"	"56776"
"FMNL2"	"114793"
"FOXA1"	"3169"
"FOXE3"	"2301"
"FRMPD3"	"84443"
"FTH1"	"2495"
"FUT7"	"2529"
"GBF1"	"8729"
"GDA"	"9615"
"GDF3"	"9573"
"GEMIN5"	"25929"
"GGA1"	"26088"
"GID4"	"79018"
"GJB5"	"2709"
"GNB1L"	"54584"
"GNL2"	"29889"
"GPX4"	"2879"
"GRM3"	"2913"
"GTPBP4"	"23560"
"HAUS3"	"79441"
"HCN1"	"348980"
"HEATR3"	"55027"
"HECW2"	"57520"
"HERC4"	"26091"
"HERPUD2"	"64224"
"HES3"	"390992"
"HHIP"	"64399"
"HK2"	"3099"
"HOXD9"	"3235"
"HSF1"	"3297"
"HSPA14"	"51182"
"HSPD1"	"3329"
"HSPH1"	"10808"
"HTRA2"	"27429"
"IDH3A"	"3419"
"IGF2R"	"3482"
"IKZF2"	"22807"
"IKZF3"	"22806"
"IL25"	"64806"
"IL3"	"3562"
"INPP5A"	"3632"
"INTS13"	"55726"
"INTS4"	"92105"
"INTS5"	"80789"
"IP6K2"	"51447"
"IPO11"	"51194"
"ITGB8"	"3696"
"JADE2"	"23338"
"KANSL3"	"55683"
"KDM7A"	"80853"
"KIF22"	"3835"
"L1CAM"	"3897"
"LCP2"	"3937"
"LIAS"	"11019"
"LNPEP"	"4012"
"LRP12"	"29967"
"LRP1B"	"53353"
"LRP2"	"4036"
"LRR1"	"122769"
"LRRTM1"	"347730"
"LSG1"	"55341"
"LYL1"	"4066"
"MAN1A2"	"10905"
"MAP2"	"4133"
"MAP2K4"	"6416"
"MAP3K12"	"7786"
"MARCHF6"	"10299"
"MARK4"	"57787"
"MBD2"	"8932"
"MBD3"	"53615"
"MED17"	"9440"
"MED19"	"219541"
"MED24"	"9862"
"MED30"	"90390"
"MEGF10"	"84466"
"MEPCE"	"56257"
"METTL17"	"64745"
"MGAT2"	"4247"
"MLLT3"	"4300"
"MMP14"	"4323"
"MOGS"	"7841"
"MRPL18"	"29074"
"MRPL21"	"219927"
"MRPL53"	"116540"
"MRPS10"	"55173"
"MRPS28"	"28957"
"MRPS34"	"65993"
"MRPS5"	"64969"
"MRTFB"	"57496"
"MTERF3"	"51001"
"MTMR3"	"8897"
"MUS81"	"80198"
"MYBL1"	"4603"
"NADK2"	"133686"
"NCAPD3"	"23310"
"NCAPH2"	"29781"
"NDUFB7"	"4713"
"NELFA"	"7469"
"NELL2"	"4753"
"NFAT5"	"10725"
"NFIB"	"4781"
"NFYC"	"4802"
"NIFK"	"84365"
"NOL4"	"8715"
"NOM1"	"64434"
"NPR3"	"4883"
"NR5A2"	"2494"
"NTRK3"	"4916"
"NVL"	"4931"
"NYAP2"	"57624"
"OBSL1"	"23363"
"OPA1"	"4976"
"OPN1LW"	"5956"
"ORC4"	"5000"
"OXA1L"	"5018"
"PAFAH1B1"	"5048"
"PAK3"	"5063"
"PAX8"	"7849"
"PCCB"	"5096"
"PCDH11X"	"27328"
"PCID2"	"55795"
"PCYT2"	"5833"
"PEX12"	"5193"
"PEX26"	"55670"
"PEX3"	"8504"
"PEX5"	"5830"
"PGM3"	"5238"
"PHC1"	"1911"
"PHF12"	"57649"
"PHF21A"	"51317"
"PHF21B"	"112885"
"PI4K2A"	"55361"
"PI4KB"	"5298"
"PIK3CD"	"5293"
"PIM3"	"415116"
"PKN2"	"5586"
"PLAA"	"9373"
"PLEC"	"5339"
"PLEKHA6"	"22874"
"PLOD1"	"5351"
"PLXNA3"	"55558"
"PNISR"	"25957"
"POGK"	"57645"
"POLR1E"	"64425"
"POLR3H"	"171568"
"PPARGC1B"	"133522"
"PPAT"	"5471"
"PPCS"	"79717"
"PPP1CA"	"5499"
"PPP1R12A"	"4659"
"PPP1R7"	"5510"
"PPP6R1"	"22870"
"PRDM10"	"56980"
"PREP"	"5550"
"PRPF18"	"8559"
"PRR14L"	"253143"
"PSAP"	"5660"
"PSME3IP1"	"80011"
"PSMG3"	"84262"
"PTPMT1"	"114971"
"RAB11FIP2"	"22841"
"RAB21"	"23011"
"RACGAP1"	"29127"
"RAD1"	"5810"
"RAN"	"5901"
"RANBP2"	"5903"
"RAPGEF6"	"51735"
"RASA1"	"5921"
"RBBP8"	"5932"
"RBM19"	"9904"
"RBM25"	"58517"
"RCC1L"	"81554"
"RCE1"	"9986"
"RELA"	"5970"
"RFC2"	"5982"
"RFWD3"	"55159"
"RHOT1"	"55288"
"RNF4"	"6047"
"RNMT"	"8731"
"ROR2"	"4920"
"RORB"	"6096"
"RPL18"	"6141"
"RRS1"	"23212"
"RSPRY1"	"89970"
"RTL9"	"57529"
"RTN4RL2"	"349667"
"RXYLT1"	"10329"
"RYR2"	"6262"
"SACM1L"	"22908"
"SAMHD1"	"25939"
"SCFD1"	"23256"
"SCN1A"	"6323"
"SCUBE1"	"80274"
"SDF2L1"	"23753"
"SDHB"	"6390"
"SEC16A"	"9919"
"SEL1L"	"6400"
"SELENOI"	"85465"
"SEMA4C"	"54910"
"SENP2"	"59343"
"SENP6"	"26054"
"SGK1"	"6446"
"SIK2"	"23235"
"SIPA1L2"	"57568"
