"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-9639288"	"Amino acids regulate mTORC1"	"3/36"	"55/10654"	0.000823923173244363	0.180439174940515	0.153509896488687	"9296/9681/84219"	3
"R-HSA-3000480"	"Scavenging by Class A Receptors"	"2/36"	"19/10654"	0.00183096331204014	0.200490482668395	0.170568687490055	"1282/2495"	2
"R-HSA-2262752"	"Cellular responses to stress"	"6/36"	"479/10654"	0.00493954248022452	0.258292217759388	0.219743919939494	"9296/9681/3297/6416/5970/84219"	6
"R-HSA-8953897"	"Cellular responses to external stimuli"	"6/36"	"493/10654"	0.00567913154406076	0.258292217759388	0.219743919939494	"9296/9681/3297/6416/5970/84219"	6
"R-HSA-2173782"	"Binding and Uptake of Ligands by Scavenger Receptors"	"2/36"	"42/10654"	0.00878066356532879	0.258292217759388	0.219743919939494	"1282/2495"	2
"R-HSA-917937"	"Iron uptake and transport"	"2/36"	"58/10654"	0.0162980719711468	0.258292217759388	0.219743919939494	"9296/2495"	2
"R-HSA-72163"	"mRNA Splicing - Major Pathway"	"3/36"	"183/10654"	0.0234991600189183	0.258292217759388	0.219743919939494	"51340/6631/51729"	3
"R-HSA-72172"	"mRNA Splicing"	"3/36"	"191/10654"	0.0262514977316868	0.258292217759388	0.219743919939494	"51340/6631/51729"	3
"R-HSA-3000178"	"ECM proteoglycans"	"2/36"	"76/10654"	0.0270566154473473	0.258292217759388	0.219743919939494	"1282/7042"	2
"R-HSA-168142"	"Toll Like Receptor 10 (TLR10) Cascade"	"2/36"	"85/10654"	0.0332585287262416	0.258292217759388	0.219743919939494	"6416/5970"	2
"R-HSA-168176"	"Toll Like Receptor 5 (TLR5) Cascade"	"2/36"	"85/10654"	0.0332585287262416	0.258292217759388	0.219743919939494	"6416/5970"	2
"R-HSA-975871"	"MyD88 cascade initiated on plasma membrane"	"2/36"	"85/10654"	0.0332585287262416	0.258292217759388	0.219743919939494	"6416/5970"	2
"R-HSA-425381"	"Bicarbonate transporters"	"1/36"	"10/10654"	0.0332947826108697	0.258292217759388	0.219743919939494	"8671"	1
"R-HSA-428542"	"Regulation of commissural axon pathfinding by SLIT and ROBO"	"1/36"	"10/10654"	0.0332947826108697	0.258292217759388	0.219743919939494	"9353"	1
