"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-3928662"	"EPHB-mediated forward signaling"	"5/223"	"42/10654"	0.00173872166455914	0.422679082395465	0.407388223596517	"2048/8976/71/2047/5921"	5
"R-HSA-194840"	"Rho GTPase cycle"	"9/223"	"138/10654"	0.00243555068375257	0.422679082395465	0.407388223596517	"9181/4649/29127/57522/6654/57514/1894/85360/9828"	9
"R-HSA-380320"	"Recruitment of NuMA to mitotic centrosomes"	"7/223"	"94/10654"	0.00351045141751414	0.422679082395465	0.407388223596517	"3320/22995/23332/23354/10426/9702/4926"	7
"R-HSA-983695"	"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	"4/223"	"32/10654"	0.00424173891653017	0.422679082395465	0.407388223596517	"5293/6654/5336/3708"	4
"R-HSA-5693568"	"Resolution of D-loop Structures through Holliday Junction Intermediates"	"4/223"	"33/10654"	0.00474886257350901	0.422679082395465	0.407388223596517	"83990/10111/472/80198"	4
"R-HSA-3781860"	"Diseases associated with N-glycosylation of proteins"	"3/223"	"17/10654"	0.00495258190567615	0.422679082395465	0.407388223596517	"4247/7841/79796"	3
"R-HSA-3247509"	"Chromatin modifying enzymes"	"13/223"	"274/10654"	0.00504000800815534	0.422679082395465	0.407388223596517	"55870/9869/9112/1108/57634/55683/23587/23512/79960/4790/23338/4297/10629"	13
"R-HSA-4839726"	"Chromatin organization"	"13/223"	"274/10654"	0.00504000800815534	0.422679082395465	0.407388223596517	"55870/9869/9112/1108/57634/55683/23587/23512/79960/4790/23338/4297/10629"	13
"R-HSA-5693537"	"Resolution of D-Loop Structures"	"4/223"	"34/10654"	0.00529519628105852	0.422679082395465	0.407388223596517	"83990/10111/472/80198"	4
"R-HSA-5663202"	"Diseases of signal transduction"	"16/223"	"377/10654"	0.00575509530833507	0.422679082395465	0.407388223596517	"842/5293/3320/6400/6469/8805/6654/6801/71/2260/3084/1452/5159/11044/84441/6934"	16
"R-HSA-1660514"	"Synthesis of PIPs at the Golgi membrane"	"3/223"	"18/10654"	0.00585232033808367	0.422679082395465	0.407388223596517	"5298/22908/55361"	3
"R-HSA-380270"	"Recruitment of mitotic centrosome proteins and complexes"	"6/223"	"82/10654"	0.00733941278752213	0.422679082395465	0.407388223596517	"3320/22995/23332/23354/10426/9702"	6
"R-HSA-380287"	"Centrosome maturation"	"6/223"	"82/10654"	0.00733941278752213	0.422679082395465	0.407388223596517	"3320/22995/23332/23354/10426/9702"	6
"R-HSA-9603798"	"Class I peroxisomal membrane protein import"	"3/223"	"20/10654"	0.00792855955363588	0.422679082395465	0.407388223596517	"8504/55670/9409"	3
"R-HSA-2029480"	"Fcgamma receptor (FCGR) dependent phagocytosis"	"6/223"	"86/10654"	0.00920125538292364	0.422679082395465	0.407388223596517	"2209/3320/8976/71/5336/3708"	6
"R-HSA-68877"	"Mitotic Prometaphase"	"10/223"	"200/10654"	0.00937340429685394	0.422679082395465	0.407388223596517	"3320/81929/22995/9133/23332/23354/10426/64946/9702/4926"	10
"R-HSA-5617833"	"Cilium Assembly"	"10/223"	"201/10654"	0.00968888522661879	0.422679082395465	0.407388223596517	"3320/585/22995/26160/23332/23265/5311/23354/57787/9702"	10
"R-HSA-2565942"	"Regulation of PLK1 Activity at G2/M Transition"	"6/223"	"88/10654"	0.0102488670338647	0.422679082395465	0.407388223596517	"3320/22995/9133/23332/23354/9702"	6
"R-HSA-3371556"	"Cellular response to heat stress"	"6/223"	"89/10654"	0.0108032750447579	0.422679082395465	0.407388223596517	"3320/81929/10808/3308/472/51182"	6
"R-HSA-2173795"	"Downregulation of SMAD2/3:SMAD4 transcriptional activity"	"3/223"	"23/10654"	0.0117635544983782	0.422679082395465	0.407388223596517	"6497/51592/64750"	3
"R-HSA-2173793"	"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer"	"4/223"	"44/10654"	0.0131814595170567	0.422679082395465	0.407388223596517	"6497/51592/6667/64750"	4
"R-HSA-933542"	"TRAF6 mediated NF-kB activation"	"3/223"	"24/10654"	0.0132400114838694	0.422679082395465	0.407388223596517	"4790/3551/4214"	3
"R-HSA-3371453"	"Regulation of HSF1-mediated heat shock response"	"5/223"	"69/10654"	0.0145934330427347	0.422679082395465	0.407388223596517	"81929/10808/3308/472/51182"	5
"R-HSA-2029485"	"Role of phospholipids in phagocytosis"	"3/223"	"25/10654"	0.0148173569608859	0.422679082395465	0.407388223596517	"2209/5336/3708"	3
"R-HSA-9006335"	"Signaling by Erythropoietin"	"3/223"	"25/10654"	0.0148173569608859	0.422679082395465	0.407388223596517	"5293/6654/5336"	3
"R-HSA-194315"	"Signaling by Rho GTPases"	"17/223"	"455/10654"	0.0149280181748385	0.422679082395465	0.407388223596517	"5586/9181/81929/4649/29127/57522/8976/114793/6654/23332/71/752/57514/1894/85360/64946/9828"	17
"R-HSA-380259"	"Loss of Nlp from mitotic centrosomes"	"5/223"	"70/10654"	0.0154561319042937	0.422679082395465	0.407388223596517	"3320/22995/23332/23354/9702"	5
"R-HSA-380284"	"Loss of proteins required for interphase microtubule organization from the centrosome"	"5/223"	"70/10654"	0.0154561319042937	0.422679082395465	0.407388223596517	"3320/22995/23332/23354/9702"	5
"R-HSA-193704"	"p75 NTR receptor-mediated signalling"	"6/223"	"97/10654"	0.0160247154263567	0.422679082395465	0.407388223596517	"9181/6654/4790/3551/1894/9828"	6
"R-HSA-3214841"	"PKMTs methylate histone lysines"	"5/223"	"71/10654"	0.0163522695104064	0.422679082395465	0.407388223596517	"55870/9869/23512/4790/4297"	5
"R-HSA-5693554"	"Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)"	"3/223"	"26/10654"	0.0164963759154142	0.422679082395465	0.407388223596517	"83990/10111/472"	3
"R-HSA-5620912"	"Anchoring of the basal body to the plasma membrane"	"6/223"	"98/10654"	0.0167813035194229	0.422679082395465	0.407388223596517	"3320/22995/23332/23354/57787/9702"	6
"R-HSA-170834"	"Signaling by TGF-beta Receptor Complex"	"5/223"	"73/10654"	0.0182468456606725	0.432557576544177	0.416909352866139	"6497/51592/6667/64750/5499"	5
"R-HSA-8854518"	"AURKA Activation by TPX2"	"5/223"	"73/10654"	0.0182468456606725	0.432557576544177	0.416909352866139	"3320/22995/23332/23354/9702"	5
"R-HSA-2219528"	"PI3K/AKT Signaling in Cancer"	"6/223"	"101/10654"	0.0191981472739822	0.442105905795132	0.426112261299213	"842/5293/6801/2260/3084/5159"	6
"R-HSA-2219530"	"Constitutive Signaling by Aberrant PI3K in Cancer"	"5/223"	"75/10654"	0.0202809624711791	0.454068215326955	0.437641821746497	"5293/6801/2260/3084/5159"	5
"R-HSA-186763"	"Downstream signal transduction"	"3/223"	"29/10654"	0.0221484987694759	0.482478108329664	0.465023957094544	"6654/5159/5921"	3
