"SYMBOL"	"ENTREZID"
"AFDN"	"4301"
"DAAM2"	"23500"
"GRM1"	"2911"
"HIVEP2"	"3097"
"PGM3"	"5238"
"SCAF8"	"22828"
"SCUBE3"	"222663"
"SENP6"	"26054"
"TAF8"	"129685"
"TTK"	"7272"
"XPO5"	"57510"
"PEX3"	"8504"
"PNISR"	"25957"
"ASH1L"	"55870"
"CASP9"	"842"
"CASZ1"	"54897"
"CELSR2"	"1952"
"COP1"	"64326"
"DNTTIP2"	"30836"
"EIF3I"	"8668"
"EPHB2"	"2048"
"GON4L"	"54856"
"LRRC41"	"10489"
"MAD2L2"	"10459"
"MECR"	"51102"
"NFASC"	"23114"
"NOL9"	"79707"
"NOTCH2"	"4853"
"NR5A2"	"2494"
"NVL"	"4931"
"PKN2"	"5586"
"SDHB"	"6390"
"SETDB1"	"9869"
"SKI"	"6497"
"SORT1"	"6272"
"TRIM33"	"51592"
"URB2"	"9816"
"UTP25"	"27042"
"ZNHIT6"	"54680"
"AHDC1"	"27245"
"ARHGEF2"	"9181"
"ASTN1"	"460"
"PI4KB"	"5298"
"PIK3CD"	"5293"
"SRRM1"	"10250"
"FCGR1A"	"2209"
"UFC1"	"51506"
"EGLN1"	"54583"
"SOX13"	"9580"
"POGK"	"57645"
"DLST"	"1743"
"FBXO33"	"254170"
"FLVCR2"	"55640"
"HSP90AA1"	"3320"
"INF2"	"64423"
"MTA1"	"9112"
"SAMD4A"	"23034"
"SCFD1"	"23256"
"WARS1"	"7453"
"LRR1"	"122769"
"SEL1L"	"6400"
"MGAT2"	"4247"
"ANKRD12"	"23253"
"ASXL3"	"80816"
"SEH1L"	"81929"
"NOL4"	"8715"
"RNMT"	"8731"
"BBS4"	"585"
"CEP152"	"22995"
"CSNK1G1"	"53944"
"FAM98B"	"283742"
"HERC1"	"8925"
"MYO9A"	"4649"
"PKM"	"5315"
"POLG"	"5428"
"SCAPER"	"49855"
"TLN2"	"83660"
"CCNB2"	"9133"
"SIN3A"	"25942"
"SNRPA1"	"6627"
"ABCA2"	"20"
"CIZ1"	"25792"
"DNLZ"	"728489"
"ENDOG"	"2021"
"IL11RA"	"3590"
"PAPPA"	"5069"
"RORB"	"6096"
"DOLK"	"22845"
"MLLT3"	"4300"
"PLAA"	"9373"
"BRINP1"	"1620"
"ANKS1B"	"56899"
"CHD4"	"1108"
"DDN"	"23109"
"DGKA"	"1606"
"DIP2B"	"57609"
"EP400"	"57634"
"GRASP"	"160622"
"MAP3K12"	"7786"
"PEX5"	"5830"
"PLXNC1"	"10154"
"RACGAP1"	"29127"
"RXYLT1"	"10329"
"SP1"	"6667"
"SRGAP1"	"57522"
"TIMELESS"	"8914"
"EPS8"	"2059"
"GRM3"	"2913"
"MEPCE"	"56257"
"NCAPG2"	"54892"
"PNPLA8"	"50640"
"RCC1L"	"81554"
"SHH"	"6469"
"SLC13A4"	"26266"
"TRIM24"	"8805"
"WASL"	"8976"
"RAPGEF5"	"9771"
"USP42"	"84132"
"ST7"	"7982"
"PSMG3"	"84262"
"C2orf49"	"79074"
"CAD"	"790"
"FMNL2"	"114793"
"HOXD3"	"3232"
"HSPD1"	"3329"
"HTRA2"	"27429"
"IFT172"	"26160"
"IKZF2"	"22807"
"KANSL3"	"55683"
"KCNJ3"	"3760"
"LRRTM1"	"347730"
"MOGS"	"7841"
"PAX8"	"7849"
"SLC39A10"	"57181"
"SMC6"	"79677"
"SOS1"	"6654"
"STRN"	"6801"
"USP39"	"10713"
"ASXL2"	"55252"
"CLASP1"	"23332"
"HECW2"	"57520"
"MRPS5"	"64969"
"PTMA"	"5757"
