"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-2029480"	"Fcgamma receptor (FCGR) dependent phagocytosis"	"4/42"	"86/10654"	0.000350588803889932	0.117563256585563	0.108401860417533	"3320/8976/71/3708"	4
"R-HSA-5663202"	"Diseases of signal transduction"	"7/42"	"377/10654"	0.000607562049537793	0.117563256585563	0.108401860417533	"3320/8805/71/1452/5159/11044/84441"	7
"R-HSA-2029482"	"Regulation of actin dynamics for phagocytic cup formation"	"3/42"	"61/10654"	0.0017490818700277	0.174334852248521	0.16074939456616	"3320/8976/71"	3
"R-HSA-202131"	"Metabolism of nitric oxide: eNOS activation and regulation"	"2/42"	"17/10654"	0.0019874055617316	0.174334852248521	0.16074939456616	"3320/8976"	2
"R-HSA-6802952"	"Signaling by BRAF and RAF fusions"	"3/42"	"67/10654"	0.00229030126964417	0.174334852248521	0.16074939456616	"8805/71/11044"	3
"R-HSA-6802957"	"Oncogenic MAPK signaling"	"3/42"	"71/10654"	0.00270286592633367	0.174334852248521	0.16074939456616	"8805/71/11044"	3
"R-HSA-445095"	"Interaction between L1 and Ankyrins"	"2/42"	"31/10654"	0.00656207143446236	0.271230831713157	0.250094524549871	"23114/71"	2
"R-HSA-5339562"	"Uptake and actions of bacterial toxins"	"2/42"	"31/10654"	0.00656207143446236	0.271230831713157	0.250094524549871	"3320/1938"	2
"R-HSA-4420097"	"VEGFA-VEGFR2 Pathway"	"3/42"	"99/10654"	0.00687268858051846	0.271230831713157	0.250094524549871	"3320/71/3708"	3
"R-HSA-194138"	"Signaling by VEGF"	"3/42"	"107/10654"	0.00850999970677569	0.271230831713157	0.250094524549871	"3320/71/3708"	3
"R-HSA-5663213"	"RHO GTPases Activate WASPs and WAVEs"	"2/42"	"36/10654"	0.00878066356532879	0.271230831713157	0.250094524549871	"8976/71"	2
"R-HSA-381676"	"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion"	"2/42"	"42/10654"	0.0118227236839918	0.271230831713157	0.250094524549871	"3708/2778"	2
"R-HSA-3928662"	"EPHB-mediated forward signaling"	"2/42"	"42/10654"	0.0118227236839918	0.271230831713157	0.250094524549871	"8976/71"	2
"R-HSA-168273"	"Influenza Viral RNA Transcription and Replication"	"3/42"	"134/10654"	0.0156236594319851	0.271230831713157	0.250094524549871	"3320/81929/6155"	3
"R-HSA-211000"	"Gene Silencing by RNA"	"3/42"	"136/10654"	0.0162509572480691	0.271230831713157	0.250094524549871	"57510/3320/81929"	3
"R-HSA-5663220"	"RHO GTPases Activate Formins"	"3/42"	"140/10654"	0.0175478310996533	0.271230831713157	0.250094524549871	"81929/114793/71"	3
"R-HSA-168255"	"Influenza Life Cycle"	"3/42"	"144/10654"	0.0189012698092205	0.271230831713157	0.250094524549871	"3320/81929/6155"	3
"R-HSA-9639288"	"Amino acids regulate mTORC1"	"2/42"	"55/10654"	0.0197447422738861	0.271230831713157	0.250094524549871	"81929/57600"	2
"R-HSA-6784531"	"tRNA processing in the nucleus"	"2/42"	"57/10654"	0.0211159132497482	0.271230831713157	0.250094524549871	"81929/79074"	2
"R-HSA-168254"	"Influenza Infection"	"3/42"	"155/10654"	0.0229162336562576	0.271230831713157	0.250094524549871	"3320/81929/6155"	3
"R-HSA-72766"	"Translation"	"4/42"	"291/10654"	0.027044583985947	0.271230831713157	0.250094524549871	"124995/6155/10573/1938"	4
"R-HSA-68867"	"Assembly of the pre-replicative complex"	"2/42"	"68/10654"	0.0293316570648369	0.271230831713157	0.250094524549871	"4171/1869"	2
"R-HSA-380259"	"Loss of Nlp from mitotic centrosomes"	"2/42"	"70/10654"	0.0309427779270864	0.271230831713157	0.250094524549871	"3320/9702"	2
"R-HSA-380284"	"Loss of proteins required for interphase microtubule organization from the centrosome"	"2/42"	"70/10654"	0.0309427779270864	0.271230831713157	0.250094524549871	"3320/9702"	2
"R-HSA-8854518"	"AURKA Activation by TPX2"	"2/42"	"73/10654"	0.0334240123571723	0.271230831713157	0.250094524549871	"3320/9702"	2
"R-HSA-422356"	"Regulation of insulin secretion"	"2/42"	"78/10654"	0.0377264557708841	0.271230831713157	0.250094524549871	"3708/2778"	2
"R-HSA-442380"	"Zinc influx into cells by the SLC39 gene family"	"1/42"	"10/10654"	0.0387458577201208	0.271230831713157	0.250094524549871	"57181"	1
"R-HSA-195258"	"RHO GTPase Effectors"	"4/42"	"327/10654"	0.0390665204727337	0.271230831713157	0.250094524549871	"81929/8976/114793/71"	4
"R-HSA-380270"	"Recruitment of mitotic centrosome proteins and complexes"	"2/42"	"82/10654"	0.0413133729860932	0.271230831713157	0.250094524549871	"3320/9702"	2
"R-HSA-380287"	"Centrosome maturation"	"2/42"	"82/10654"	0.0413133729860932	0.271230831713157	0.250094524549871	"3320/9702"	2
"R-HSA-196025"	"Formation of annular gap junctions"	"1/42"	"11/10654"	0.0425388560267494	0.271230831713157	0.250094524549871	"71"	1
"R-HSA-68689"	"CDC6 association with the ORC:origin complex"	"1/42"	"11/10654"	0.0425388560267494	0.271230831713157	0.250094524549871	"1869"	1
"R-HSA-453274"	"Mitotic G2-G2/M phases"	"3/42"	"198/10654"	0.0427298637105468	0.271230831713157	0.250094524549871	"3320/1869/9702"	3
"R-HSA-68877"	"Mitotic Prometaphase"	"3/42"	"200/10654"	0.0438089036148847	0.271230831713157	0.250094524549871	"3320/81929/9702"	3
"R-HSA-69002"	"DNA Replication Pre-Initiation"	"2/42"	"85/10654"	0.04408504946228	0.271230831713157	0.250094524549871	"4171/1869"	2
"R-HSA-5368286"	"Mitochondrial translation initiation"	"2/42"	"87/10654"	0.0459705627977	0.271230831713157	0.250094524549871	"124995/10573"	2
"R-HSA-5389840"	"Mitochondrial translation elongation"	"2/42"	"87/10654"	0.0459705627977	0.271230831713157	0.250094524549871	"124995/10573"	2
"R-HSA-5419276"	"Mitochondrial translation termination"	"2/42"	"87/10654"	0.0459705627977	0.271230831713157	0.250094524549871	"124995/10573"	2
"R-HSA-1474151"	"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"	"1/42"	"12/10654"	0.0463172425763012	0.271230831713157	0.250094524549871	"3320"	1
"R-HSA-176974"	"Unwinding of DNA"	"1/42"	"12/10654"	0.0463172425763012	0.271230831713157	0.250094524549871	"4171"	1
"R-HSA-190873"	"Gap junction degradation"	"1/42"	"12/10654"	0.0463172425763012	0.271230831713157	0.250094524549871	"71"	1
"R-HSA-2197563"	"NOTCH2 intracellular domain regulates transcription"	"1/42"	"12/10654"	0.0463172425763012	0.271230831713157	0.250094524549871	"84441"	1
"R-HSA-3371511"	"HSF1 activation"	"1/42"	"12/10654"	0.0463172425763012	0.271230831713157	0.250094524549871	"3320"	1
"R-HSA-9013973"	"TICAM1-dependent activation of IRF3/IRF7"	"1/42"	"12/10654"	0.0463172425763012	0.271230831713157	0.250094524549871	"10010"	1
"R-HSA-2565942"	"Regulation of PLK1 Activity at G2/M Transition"	"2/42"	"88/10654"	0.0469244263112693	0.271230831713157	0.250094524549871	"3320/9702"	2
"R-HSA-418346"	"Platelet homeostasis"	"2/42"	"88/10654"	0.0469244263112693	0.271230831713157	0.250094524549871	"3708/2778"	2
"R-HSA-156902"	"Peptide chain elongation"	"2/42"	"89/10654"	0.0478856011991193	0.271230831713157	0.250094524549871	"6155/1938"	2
"R-HSA-3371556"	"Cellular response to heat stress"	"2/42"	"89/10654"	0.0478856011991193	0.271230831713157	0.250094524549871	"3320/81929"	2
"R-HSA-113501"	"Inhibition of replication initiation of damaged DNA by RB1/E2F1"	"1/42"	"13/10654"	0.0500810722898691	0.271230831713157	0.250094524549871	"1869"	1
"R-HSA-203615"	"eNOS activation"	"1/42"	"13/10654"	0.0500810722898691	0.271230831713157	0.250094524549871	"3320"	1
"R-HSA-5607763"	"CLEC7A (Dectin-1) induces NFAT activation"	"1/42"	"13/10654"	0.0500810722898691	0.271230831713157	0.250094524549871	"3708"	1
"R-HSA-2682334"	"EPH-Ephrin signaling"	"2/42"	"92/10654"	0.0508123023906487	0.271230831713157	0.250094524549871	"8976/71"	2
"R-HSA-156842"	"Eukaryotic Translation Elongation"	"2/42"	"93/10654"	0.0518020331000732	0.271230831713157	0.250094524549871	"6155/1938"	2
"R-HSA-1912408"	"Pre-NOTCH Transcription and Translation"	"2/42"	"93/10654"	0.0518020331000732	0.271230831713157	0.250094524549871	"1869/84441"	2
"R-HSA-5368287"	"Mitochondrial translation"	"2/42"	"93/10654"	0.0518020331000732	0.271230831713157	0.250094524549871	"124995/10573"	2
"R-HSA-380320"	"Recruitment of NuMA to mitotic centrosomes"	"2/42"	"94/10654"	0.0527987323810912	0.271230831713157	0.250094524549871	"3320/9702"	2
"R-HSA-3371568"	"Attenuation phase"	"1/42"	"14/10654"	0.0538303998872596	0.271230831713157	0.250094524549871	"3320"	1
"R-HSA-418885"	"DCC mediated attractive signaling"	"1/42"	"14/10654"	0.0538303998872596	0.271230831713157	0.250094524549871	"8976"	1
"R-HSA-4839735"	"AXIN mutants destabilize the destruction complex, activating WNT signaling"	"1/42"	"14/10654"	0.0538303998872596	0.271230831713157	0.250094524549871	"1452"	1
"R-HSA-4839744"	"truncated APC mutants destabilize the destruction complex"	"1/42"	"14/10654"	0.0538303998872596	0.271230831713157	0.250094524549871	"1452"	1
"R-HSA-4839748"	"AMER1 mutants destabilize the destruction complex"	"1/42"	"14/10654"	0.0538303998872596	0.271230831713157	0.250094524549871	"1452"	1
"R-HSA-5467337"	"APC truncation mutants have impaired AXIN binding"	"1/42"	"14/10654"	0.0538303998872596	0.271230831713157	0.250094524549871	"1452"	1
"R-HSA-5467340"	"AXIN missense mutants destabilize the destruction complex"	"1/42"	"14/10654"	0.0538303998872596	0.271230831713157	0.250094524549871	"1452"	1
"R-HSA-5467348"	"Truncations of AMER1 destabilize the destruction complex"	"1/42"	"14/10654"	0.0538303998872596	0.271230831713157	0.250094524549871	"1452"	1
"R-HSA-6804116"	"TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest"	"1/42"	"14/10654"	0.0538303998872596	0.271230831713157	0.250094524549871	"1869"	1
