,predispo_cancer,azoospermia,gene_paper
ENSG00000000419,0,0,1
ENSG00000000938,1,0,1
ENSG00000000971,0,0,1
ENSG00000001084,0,0,1
ENSG00000001167,0,0,1
ENSG00000001617,0,0,1
ENSG00000001626,0,0,1
ENSG00000001631,1,0,0
ENSG00000002016,1,0,1
ENSG00000002330,1,0,1
ENSG00000002549,0,0,1
ENSG00000002587,0,0,1
ENSG00000002822,1,0,1
ENSG00000002834,0,0,1
ENSG00000003056,0,0,1
ENSG00000003147,0,0,1
ENSG00000003393,0,0,1
ENSG00000003402,0,0,1
ENSG00000003436,0,0,1
ENSG00000003756,0,1,1
ENSG00000003987,0,0,1
ENSG00000003989,0,0,1
ENSG00000004059,0,0,1
ENSG00000004455,1,0,1
ENSG00000004468,0,0,1
ENSG00000004478,0,0,1
ENSG00000004487,1,0,0
ENSG00000004534,0,0,1
ENSG00000004660,0,0,1
ENSG00000004700,1,0,1
ENSG00000004799,0,0,1
ENSG00000004848,0,0,1
ENSG00000004864,0,0,1
ENSG00000004866,0,0,1
ENSG00000004939,0,0,1
ENSG00000004948,0,0,1
ENSG00000004961,0,0,1
ENSG00000004975,0,0,1
ENSG00000005007,1,0,0
ENSG00000005020,1,0,0
ENSG00000005022,0,0,1
ENSG00000005073,1,1,1
ENSG00000005075,1,0,0
ENSG00000005102,0,0,1
ENSG00000005156,1,0,1
ENSG00000005243,0,0,1
ENSG00000005249,0,0,1
ENSG00000005339,1,0,1
ENSG00000005381,0,0,1
ENSG00000005421,0,0,1
ENSG00000005469,0,0,1
ENSG00000005471,1,0,1
ENSG00000005513,0,0,1
ENSG00000005844,0,0,1
ENSG00000005882,0,0,1
ENSG00000005884,0,0,1
ENSG00000005889,0,0,1
ENSG00000005893,0,0,1
ENSG00000005961,1,0,1
ENSG00000005981,0,0,1
ENSG00000006016,0,0,1
ENSG00000006047,0,1,1
ENSG00000006062,0,0,1
ENSG00000006071,0,0,1
ENSG00000006125,0,0,1
ENSG00000006128,0,0,1
ENSG00000006210,0,0,1
ENSG00000006283,0,0,1
ENSG00000006327,0,0,1
ENSG00000006377,0,0,1
ENSG00000006451,0,0,1
ENSG00000006468,0,0,1
ENSG00000006638,0,0,1
ENSG00000006652,0,0,1
ENSG00000006704,0,0,1
ENSG00000006715,0,0,1
ENSG00000006744,0,0,1
ENSG00000006747,0,0,1
ENSG00000006837,0,0,1
ENSG00000007038,0,0,1
ENSG00000007168,0,1,1
ENSG00000007171,0,0,1
ENSG00000007216,0,0,1
ENSG00000007264,1,0,1
ENSG00000007312,0,0,1
ENSG00000007341,0,0,1
ENSG00000007350,0,0,1
ENSG00000007372,1,0,1
ENSG00000007392,0,0,1
ENSG00000007402,0,0,1
ENSG00000007541,0,0,1
ENSG00000007866,0,0,1
ENSG00000007908,0,0,1
ENSG00000007933,0,0,1
ENSG00000008018,0,0,1
ENSG00000008056,0,0,1
ENSG00000008118,0,0,1
ENSG00000008277,0,0,1
ENSG00000008283,0,0,1
ENSG00000008294,0,0,1
ENSG00000008300,0,0,1
ENSG00000008311,0,0,1
ENSG00000008394,0,0,1
ENSG00000008405,0,0,1
ENSG00000008441,0,0,1
ENSG00000008710,1,0,1
ENSG00000008735,0,0,1
ENSG00000008988,0,0,1
ENSG00000009307,1,0,0
ENSG00000009413,1,0,1
ENSG00000009724,0,0,1
ENSG00000009954,0,0,1
ENSG00000010017,0,1,1
ENSG00000010072,1,0,0
ENSG00000010256,0,0,1
ENSG00000010278,0,0,1
ENSG00000010318,0,0,1
ENSG00000010322,0,0,1
ENSG00000010327,0,0,1
ENSG00000010404,0,0,1
ENSG00000010610,0,0,1
ENSG00000010671,1,0,1
ENSG00000010704,0,0,1
ENSG00000010803,0,1,1
ENSG00000010810,1,0,1
ENSG00000010818,0,0,1
ENSG00000010932,0,0,1
ENSG00000011009,0,0,1
ENSG00000011028,0,0,1
ENSG00000011132,0,0,1
ENSG00000011258,0,0,1
ENSG00000011304,0,0,1
ENSG00000011347,0,0,1
ENSG00000011405,0,0,1
ENSG00000011422,0,0,1
ENSG00000011451,0,0,1
ENSG00000011465,0,0,1
ENSG00000011485,1,0,1
ENSG00000011566,0,0,1
ENSG00000011600,0,0,1
ENSG00000011677,0,0,1
ENSG00000012048,1,1,1
ENSG00000012061,1,0,1
ENSG00000012124,0,0,1
ENSG00000012171,0,0,1
ENSG00000012223,1,0,1
ENSG00000012504,1,0,1
ENSG00000012983,0,0,1
ENSG00000013016,0,0,1
ENSG00000013275,0,0,1
ENSG00000013288,0,0,1
ENSG00000013297,0,1,1
ENSG00000013364,0,0,1
ENSG00000013561,0,0,1
ENSG00000013573,1,0,0
ENSG00000013583,0,0,1
ENSG00000013588,1,0,0
ENSG00000013725,0,0,1
ENSG00000013810,0,0,1
ENSG00000014138,1,0,1
ENSG00000014216,0,0,1
ENSG00000014257,1,0,1
ENSG00000014824,1,0,0
ENSG00000015153,0,0,1
ENSG00000015285,1,0,1
ENSG00000015413,0,0,1
ENSG00000015475,0,0,1
ENSG00000015479,0,0,1
ENSG00000015592,0,0,1
ENSG00000016082,0,0,1
ENSG00000016490,0,0,1
ENSG00000017260,1,0,0
ENSG00000017427,0,0,1
ENSG00000017797,0,0,1
ENSG00000018236,0,0,1
ENSG00000018280,0,0,1
ENSG00000018510,0,1,0
ENSG00000019169,0,0,1
ENSG00000019505,0,0,1
ENSG00000019549,0,0,1
ENSG00000019991,1,0,1
ENSG00000020256,0,0,1
ENSG00000020426,1,0,1
ENSG00000020633,0,0,1
ENSG00000020922,1,1,0
ENSG00000021300,0,0,1
ENSG00000021488,0,0,1
ENSG00000021762,0,0,1
ENSG00000021776,1,0,1
ENSG00000022267,0,0,1
ENSG00000022355,0,0,1
ENSG00000022840,0,0,1
ENSG00000023191,0,0,1
ENSG00000023287,0,0,1
ENSG00000023330,0,0,1
ENSG00000023445,0,0,1
ENSG00000023572,0,0,1
ENSG00000023734,0,0,1
ENSG00000023839,0,0,1
ENSG00000023892,0,0,1
ENSG00000023909,0,0,1
ENSG00000024422,0,0,1
ENSG00000025156,0,1,1
ENSG00000025434,0,0,1
ENSG00000025796,0,0,1
ENSG00000025800,0,0,1
ENSG00000026025,0,0,1
ENSG00000026036,1,0,0
ENSG00000026103,1,0,0
ENSG00000026508,0,0,1
ENSG00000026652,0,0,1
ENSG00000027075,1,0,1
ENSG00000027644,0,0,1
ENSG00000027847,0,0,1
ENSG00000027869,0,0,1
ENSG00000028137,1,0,1
ENSG00000028277,0,0,1
ENSG00000028528,0,0,1
ENSG00000028839,0,1,1
ENSG00000029534,0,0,1
ENSG00000029559,0,0,1
ENSG00000029993,0,0,1
ENSG00000030066,0,0,1
ENSG00000030110,0,0,1
ENSG00000030304,0,0,1
ENSG00000030582,0,0,1
ENSG00000031698,0,0,1
ENSG00000032219,1,0,0
ENSG00000033050,0,0,1
ENSG00000033170,0,0,1
ENSG00000033327,1,0,1
ENSG00000033627,0,0,1
ENSG00000033800,0,0,1
ENSG00000034053,0,0,1
ENSG00000034152,0,0,1
ENSG00000034510,0,0,1
ENSG00000034533,1,0,0
ENSG00000034693,0,0,1
ENSG00000034713,0,0,1
ENSG00000034971,0,0,1
ENSG00000035115,0,0,1
ENSG00000035403,0,0,1
ENSG00000035664,0,0,1
ENSG00000035681,0,0,1
ENSG00000035687,0,0,1
ENSG00000035720,1,0,0
ENSG00000035862,0,0,1
ENSG00000035928,1,0,0
ENSG00000036257,0,0,1
ENSG00000036448,0,0,1
ENSG00000036473,0,0,1
ENSG00000036565,0,0,1
ENSG00000036672,0,0,1
ENSG00000037280,0,0,1
ENSG00000037897,0,0,1
ENSG00000037965,0,0,1
ENSG00000038219,1,0,0
ENSG00000038945,0,0,1
ENSG00000039068,1,0,1
ENSG00000039537,0,0,1
ENSG00000039600,0,1,0
ENSG00000039650,1,0,1
ENSG00000040341,0,0,1
ENSG00000040531,0,0,1
ENSG00000040608,0,0,1
ENSG00000040731,1,0,1
ENSG00000041353,0,0,1
ENSG00000041357,0,0,1
ENSG00000041880,1,0,0
ENSG00000041982,0,0,1
