ENSG ID	predispo_cancer	azoospermia
ENSG00000118017	1	0
ENSG00000005471	1	0
ENSG00000131269	1	0
ENSG00000097007	1	0
ENSG00000163322	1	0
ENSG00000072778	1	0
ENSG00000102977	1	0
ENSG00000161533	1	0
ENSG00000014257	1	0
ENSG00000075624	1	0
ENSG00000136518	1	0
ENSG00000138071	1	0
ENSG00000101442	1	0
ENSG00000113812	1	0
ENSG00000115170	1	0
ENSG00000121989	0	1
ENSG00000196839	1	0
ENSG00000140955	0	1
ENSG00000160323	1	0
ENSG00000140873	1	0
ENSG00000116863	1	0
ENSG00000130706	0	1
ENSG00000072364	0	1
ENSG00000262327	1	0
ENSG00000018510	0	1
ENSG00000135049	0	1
ENSG00000106546	1	0
ENSG00000110711	1	0
ENSG00000160224	1	0
ENSG00000004455	1	0
ENSG00000140057	0	1
ENSG00000127914	0	1
ENSG00000142208	1	0
ENSG00000105221	1	0
ENSG00000158578	1	0
ENSG00000111275	1	0
ENSG00000171094	1	0
ENSG00000100601	1	0
ENSG00000189046	1	0
ENSG00000166199	1	0
ENSG00000091542	1	0
ENSG00000161905	1	0
ENSG00000178522	1	0
ENSG00000125363	1	0
ENSG00000159461	1	0
ENSG00000237763	1	0
ENSG00000160117	1	0
ENSG00000107890	1	0
ENSG00000136938	1	0
ENSG00000138279	1	0
ENSG00000132842	1	0
ENSG00000125843	1	0
ENSG00000242802	1	0
ENSG00000120868	0	1
ENSG00000166313	1	0
ENSG00000134982	1	0
ENSG00000100823	1	0
ENSG00000169188	1	0
ENSG00000169621	1	0
ENSG00000179750	1	0
ENSG00000137074	1	0
ENSG00000021776	1	0
ENSG00000169083	1	1
ENSG00000189079	1	0
ENSG00000032219	1	0
ENSG00000117407	1	0
ENSG00000138303	1	0
ENSG00000100325	1	0
ENSG00000112249	1	0
ENSG00000111875	1	0
ENSG00000101440	1	0
ENSG00000034533	1	0
ENSG00000171456	1	0
ENSG00000176208	1	0
ENSG00000115966	1	0
ENSG00000125703	1	0
ENSG00000149311	1	1
ENSG00000101974	1	0
ENSG00000262145	1	0
ENSG00000174437	1	0
ENSG00000017260	1	0
ENSG00000185344	1	0
ENSG00000175054	1	0
ENSG00000164053	1	0
ENSG00000085224	1	0
ENSG00000066427	1	0
ENSG00000127423	1	0
ENSG00000087586	1	0
ENSG00000178999	1	0
ENSG00000168646	1	0
ENSG00000198488	1	0
ENSG00000105393	1	0
ENSG00000158019	1	0
ENSG00000156273	1	0
ENSG00000002330	1	0
ENSG00000163930	1	0
ENSG00000138376	1	0
ENSG00000087088	0	1
ENSG00000107949	1	0
ENSG00000127152	1	0
ENSG00000171791	1	0
ENSG00000129473	0	1
ENSG00000126581	1	0
ENSG00000180535	1	0
ENSG00000145692	1	0
ENSG00000136717	1	0
ENSG00000147439	1	0
ENSG00000134897	1	0
ENSG00000270181	1	0
ENSG00000197299	1	0
ENSG00000095585	1	0
ENSG00000189114	1	0
ENSG00000104164	1	0
ENSG00000104081	1	0
ENSG00000107779	1	0
ENSG00000038219	1	0
ENSG00000152430	0	1
ENSG00000157764	1	0
ENSG00000012048	1	1
ENSG00000139618	1	1
ENSG00000185515	1	0
ENSG00000137948	0	1
ENSG00000136492	1	0
ENSG00000172270	0	1
ENSG00000233436	0	1
ENSG00000159388	1	0
ENSG00000281484	1	0
ENSG00000010671	1	0
ENSG00000169679	1	0
ENSG00000156970	1	0
ENSG00000154473	1	0
ENSG00000173715	0	1
ENSG00000179008	1	1
ENSG00000186073	1	0
ENSG00000125319	1	0
ENSG00000134508	1	0
ENSG00000118307	1	0
ENSG00000121691	1	0
ENSG00000105974	1	0
ENSG00000110395	1	0
ENSG00000114423	1	0
ENSG00000100307	1	0
ENSG00000141570	1	0
ENSG00000161609	1	1
ENSG00000161973	0	1
ENSG00000091986	1	0
ENSG00000112761	1	0
ENSG00000100814	0	1
ENSG00000110092	1	0
ENSG00000166946	1	0
ENSG00000105173	1	0
ENSG00000175305	1	0
ENSG00000113328	1	0
ENSG00000134480	1	0
ENSG00000166226	1	0
ENSG00000163468	1	0
ENSG00000115484	1	0
ENSG00000150753	1	0
ENSG00000146731	1	0
ENSG00000135624	1	0
ENSG00000156261	1	0
