ID	Gene	MODERATE
AS006	ENSG00000140443	2
AS006	ENSG00000141519	2
AS006	ENSG00000157335	2
AS030	ENSG00000109063	2
AS036	ENSG00000100056	2
AS036	ENSG00000112041	2
AS036	ENSG00000157335	2
AS036	ENSG00000162804	2
AS054	ENSG00000013375	2
AS054	ENSG00000108021	2
AS054	ENSG00000283632	2
AS064	ENSG00000092758	2
AS064	ENSG00000103657	2
AS064	ENSG00000106346	2
AS064	ENSG00000157335	2
AS065	ENSG00000103479	2
AS065	ENSG00000130749	2
AS065	ENSG00000135476	2
AS065	ENSG00000151914	2
AS065	ENSG00000157827	2
AS065	ENSG00000163874	2
AS090	ENSG00000079308	2
AS090	ENSG00000115760	2
AS090	ENSG00000120800	2
AS090	ENSG00000157335	2
AS093	ENSG00000109063	2
AS093	ENSG00000140538	2
AS093	ENSG00000142599	2
AS093	ENSG00000177103	2
AS093	ENSG00000182095	2
AS093	ENSG00000188483	2
AS094	ENSG00000157335	2
AS094	ENSG00000167971	2
