sample	gene_symbol	LOW	MODERATE	HIGH
AS006	AHI1	NA	1	NA
AS006	ANKFY1	NA	1	NA
AS006	ANKRD11	1	4	NA
AS006	ARID1A	1	NA	NA
AS006	ARID2	1	NA	NA
AS006	ASCC3	NA	1	NA
AS006	BIRC6	NA	1	NA
AS006	BRCA2	1	NA	NA
AS006	BTF3	NA	1	NA
AS006	C2CD3	2	NA	NA
AS006	CAMSAP3	NA	1	NA
AS006	CDAN1	NA	1	NA
AS006	CDC42BPA	NA	1	NA
AS006	CEP350	NA	1	NA
AS006	CMIP	1	NA	NA
AS006	COL6A1	NA	1	NA
AS006	CREBBP	1	NA	NA
AS006	DCC	NA	1	NA
AS006	DCHS1	3	NA	NA
AS006	DHX35	NA	1	NA
AS006	DLC1	1	NA	NA
AS006	DNAJC13	NA	1	NA
AS006	DPF2	1	NA	NA
AS006	E4F1	NA	1	NA
AS006	ELL	1	NA	NA
AS006	ENDOG	NA	1	NA
AS006	EPHB3	NA	1	NA
AS006	EXOC4	1	NA	NA
AS006	GCN1	NA	1	NA
AS006	GLI3	NA	1	NA
AS006	GTPBP3	NA	1	NA
AS006	GXYLT1	NA	8	3
AS006	HDAC1	1	NA	NA
AS006	HINFP	1	NA	NA
AS006	HMX3	NA	1	NA
AS006	INTS2	NA	1	NA
AS006	IP6K2	NA	1	NA
AS006	ITGAV	1	NA	NA
AS006	KDM2B	1	NA	NA
AS006	KMT2C	NA	1	NA
AS006	LAMA5	NA	1	NA
AS006	MACF1	1	1	NA
AS006	MAD2L1	1	NA	NA
AS006	MAML2	NA	1	NA
AS006	MAP1B	NA	1	NA
AS006	MTHFD1L	NA	1	NA
AS006	MTR	1	NA	NA
AS006	MYO9A	NA	1	NA
AS006	NAV2	NA	2	NA
AS006	NCAPD3	NA	1	NA
AS006	NCAPG2	1	1	NA
AS006	NOLC1	1	NA	NA
AS006	OTX2	1	NA	NA
AS006	PES1	1	NA	NA
AS006	PLK4	NA	1	NA
AS006	PRKAR1A	1	NA	NA
AS006	SALL1	NA	1	NA
AS006	SEMA6D	NA	1	NA
AS006	SHH	1	NA	NA
AS006	SMAD4	1	NA	NA
AS006	SMPD4	NA	1	NA
