ensID	oocyte_fertilization	oocyte_maturation	oocyte_meiosis	oogenesis
ENSG00000104899	0	0	0	1
ENSG00000214274	0	1	0	1
ENSG00000066279	0	0	0	1
ENSG00000149311	0	0	1	1
ENSG00000087586	0	1	1	1
ENSG00000105146	0	0	0	1
ENSG00000171791	0	1	0	1
ENSG00000138696	0	0	0	1
ENSG00000139618	0	1	1	1
ENSG00000161609	0	0	0	1
ENSG00000173421	0	0	0	1
ENSG00000134057	0	1	0	1
ENSG00000101224	0	1	1	1
ENSG00000168036	0	1	0	1
ENSG00000092345	0	1	1	1
ENSG00000064703	0	0	0	1
ENSG00000147202	0	0	0	1
ENSG00000100206	0	1	1	1
ENSG00000137090	0	0	1	1
ENSG00000012061	0	0	0	1
ENSG00000124882	0	1	0	1
ENSG00000112029	0	1	1	1
ENSG00000183733	0	0	0	1
ENSG00000155816	0	0	0	1
ENSG00000183770	1	0	0	1
ENSG00000118689	0	1	0	1
ENSG00000164404	0	0	0	1
ENSG00000174948	0	0	0	1
ENSG00000163041	0	0	0	1
ENSG00000049860	0	0	0	1
ENSG00000143452	0	0	0	1
ENSG00000017427	0	1	0	1
ENSG00000163501	0	0	0	1
ENSG00000163083	0	0	0	1
ENSG00000272333	0	0	0	1
ENSG00000167548	0	0	0	1
ENSG00000139292	0	0	0	1
ENSG00000166783	0	0	0	1
ENSG00000277140	0	0	0	1
ENSG00000178460	0	0	0	1
ENSG00000110492	0	0	0	1
ENSG00000269964	0	0	0	1
ENSG00000180336	0	0	1	1
ENSG00000076242	0	0	0	1
ENSG00000187556	0	0	0	1
ENSG00000288505	0	0	0	1
ENSG00000106410	0	0	0	1
ENSG00000285328	0	0	0	1
ENSG00000158806	1	0	0	1
ENSG00000163273	0	1	0	1
ENSG00000159899	0	1	0	1
ENSG00000101104	0	1	0	1
ENSG00000137819	0	0	0	1
ENSG00000182749	0	0	0	1
ENSG00000170915	0	0	0	1
ENSG00000172572	0	1	0	1
ENSG00000138735	0	0	0	1
ENSG00000197181	0	0	0	1
ENSG00000179598	0	1	0	1
ENSG00000146707	0	0	0	1
ENSG00000276464	0	0	0	1
ENSG00000105568	0	1	1	1
ENSG00000120899	0	1	0	1
ENSG00000105894	0	0	0	1
ENSG00000163661	0	0	0	1
ENSG00000100918	1	1	1	1
ENSG00000285007	1	1	1	1
ENSG00000133105	0	1	0	1
ENSG00000274529	0	0	0	1
ENSG00000068903	0	1	0	1
ENSG00000283100	0	1	0	1
ENSG00000165643	0	0	0	1
ENSG00000120669	0	0	0	1
ENSG00000054796	0	0	0	1
ENSG00000197122	0	0	0	1
ENSG00000146857	0	0	0	1
ENSG00000141384	0	0	0	1
ENSG00000162782	0	1	0	1
ENSG00000071539	0	1	1	1
ENSG00000261456	0	1	1	1
ENSG00000134744	0	1	0	1
ENSG00000083223	0	1	0	1
ENSG00000164961	0	1	1	1
ENSG00000214102	1	1	1	1
ENSG00000263042	1	1	1	1
ENSG00000162552	0	0	0	1
ENSG00000006047	0	0	0	1
ENSG00000288504	0	0	0	1
ENSG00000047188	0	0	0	1
ENSG00000198492	0	1	0	1
ENSG00000220201	0	0	0	1
ENSG00000198783	0	0	0	1
ENSG00000188372	1	0	0	1
