"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-428540"	"Activation of RAC1"	"4/243"	"14/10654"	0.000220723089944615	0.0834155528350182	0.0814906252490314	"5063/9353/6654/6655"	4
"R-HSA-1989781"	"PPARA activates gene expression"	"10/243"	"117/10654"	0.000333237593827155	0.0834155528350182	0.0814906252490314	"211/1374/2033/9440/219541/9862/90390/4802/133522/6667"	10
"R-HSA-400206"	"Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)"	"10/243"	"119/10654"	0.000382026737273962	0.0834155528350182	0.0814906252490314	"211/1374/2033/9440/219541/9862/90390/4802/133522/6667"	10
"R-HSA-3781860"	"Diseases associated with N-glycosylation of proteins"	"4/243"	"17/10654"	0.000497245521193367	0.0834155528350182	0.0814906252490314	"79087/79796/4247/7841"	4
"R-HSA-5368286"	"Mitochondrial translation initiation"	"8/243"	"87/10654"	0.000807619460366704	0.0834155528350182	0.0814906252490314	"29074/219927/116540/55173/28957/65993/64969/5018"	8
"R-HSA-5389840"	"Mitochondrial translation elongation"	"8/243"	"87/10654"	0.000807619460366704	0.0834155528350182	0.0814906252490314	"29074/219927/116540/55173/28957/65993/64969/5018"	8
"R-HSA-5419276"	"Mitochondrial translation termination"	"8/243"	"87/10654"	0.000807619460366704	0.0834155528350182	0.0814906252490314	"29074/219927/116540/55173/28957/65993/64969/5018"	8
"R-HSA-194840"	"Rho GTPase cycle"	"10/243"	"138/10654"	0.00121821618801569	0.100601187913987	0.098279678372695	"392/57584/57514/9181/29127/55288/6654/6655/57522/85360"	10
"R-HSA-5368287"	"Mitochondrial translation"	"8/243"	"93/10654"	0.00125229694498739	0.100601187913987	0.098279678372695	"29074/219927/116540/55173/28957/65993/64969/5018"	8
"R-HSA-446203"	"Asparagine N-linked glycosylation"	"16/243"	"304/10654"	0.00162027054415667	0.110929782197603	0.108369926264238	"79087/79796/22820/84516/22845/51143/8729/10905/10299/4247/7841/5238/22870/9919/6400/55343"	16
"R-HSA-194315"	"Signaling by Rho GTPases"	"21/243"	"455/10654"	0.00168772835985288	0.110929782197603	0.108369926264238	"392/57584/57514/9181/699/64946/23332/1855/51143/114793/5048/5063/5586/29127/5903/55288/6654/6655/6722/57522/85360"	21
"R-HSA-5663220"	"RHO GTPases Activate Formins"	"9/243"	"140/10654"	0.0047327929187199	0.285150773352874	0.278570530566759	"699/64946/23332/1855/51143/114793/5048/5903/6722"	9
"R-HSA-1660514"	"Synthesis of PIPs at the Golgi membrane"	"3/243"	"18/10654"	0.00742225055865773	0.412791319531503	0.403265597154602	"55361/5298/22908"	3
"R-HSA-5685938"	"HDR through Single Strand Annealing (SSA)"	"4/243"	"37/10654"	0.00966180282455274	0.466003436915378	0.455249772396038	"580/83990/5810/5982"	4
"R-HSA-186797"	"Signaling by PDGF"	"5/243"	"58/10654"	0.0101607416337792	0.466003436915378	0.455249772396038	"1282/1287/1289/5921/6654"	5
"R-HSA-8856688"	"Golgi-to-ER retrograde transport"	"8/243"	"133/10654"	0.011107486289129	0.466003436915378	0.455249772396038	"662/22820/84516/51143/8729/3835/5048/29127"	8
"R-HSA-5693616"	"Presynaptic phase of homologous DNA pairing and strand exchange"	"4/243"	"39/10654"	0.0116149284719185	0.466003436915378	0.455249772396038	"580/83990/5810/5982"	4
"R-HSA-1483255"	"PI Metabolism"	"6/243"	"84/10654"	0.0122462867239173	0.466003436915378	0.455249772396038	"8897/55361/5298/5293/22874/22908"	6
"R-HSA-381340"	"Transcriptional regulation of white adipocyte differentiation"	"6/243"	"84/10654"	0.0122462867239173	0.466003436915378	0.455249772396038	"2033/9440/219541/9862/90390/27332"	6
"R-HSA-71403"	"Citric acid cycle (TCA cycle)"	"3/243"	"22/10654"	0.0131009676728962	0.471265504286611	0.460390410389919	"1743/3419/6390"	3
"R-HSA-375165"	"NCAM signaling for neurite out-growth"	"5/243"	"63/10654"	0.0142270053670763	0.471265504286611	0.460390410389919	"8911/1282/1287/1289/6654"	5
"R-HSA-419037"	"NCAM1 interactions"	"4/243"	"42/10654"	0.014991848684083	0.471265504286611	0.460390410389919	"8911/1282/1287/1289"	4
"R-HSA-5693579"	"Homologous DNA Pairing and Strand Exchange"	"4/243"	"42/10654"	0.014991848684083	0.471265504286611	0.460390410389919	"580/83990/5810/5982"	4
"R-HSA-6811442"	"Intra-Golgi and retrograde Golgi-to-ER traffic"	"10/243"	"202/10654"	0.0174084155491792	0.486699324936292	0.475468074590161	"662/22820/84516/51143/8729/3482/3835/10905/5048/29127"	10
"R-HSA-451927"	"Interleukin-2 family signaling"	"4/243"	"44/10654"	0.017553862832441	0.486699324936292	0.475468074590161	"3562/5293/6654/6655"	4
"R-HSA-1650814"	"Collagen biosynthesis and modifying enzymes"	"5/243"	"67/10654"	0.0181754934623512	0.486699324936292	0.475468074590161	"9509/1282/1287/1289/5351"	5
"R-HSA-5685942"	"HDR through Homologous Recombination (HRR)"	"5/243"	"67/10654"	0.0181754934623512	0.486699324936292	0.475468074590161	"580/83990/80198/5810/5982"	5
