"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-5368286"	"Mitochondrial translation initiation"	"4/38"	"87/10654"	0.000247737280068855	0.0128810372871734	0.0117904231461542	"219927/116540/65993/64969"	4
"R-HSA-5389840"	"Mitochondrial translation elongation"	"4/38"	"87/10654"	0.000247737280068855	0.0128810372871734	0.0117904231461542	"219927/116540/65993/64969"	4
"R-HSA-5419276"	"Mitochondrial translation termination"	"4/38"	"87/10654"	0.000247737280068855	0.0128810372871734	0.0117904231461542	"219927/116540/65993/64969"	4
"R-HSA-5368287"	"Mitochondrial translation"	"4/38"	"93/10654"	0.000320025771109899	0.0128810372871734	0.0117904231461542	"219927/116540/65993/64969"	4
"R-HSA-451927"	"Interleukin-2 family signaling"	"2/38"	"44/10654"	0.0106642293057012	0.343388183643579	0.314314126904878	"3562/6655"	2
"R-HSA-1660499"	"Synthesis of PIPs at the plasma membrane"	"2/38"	"53/10654"	0.0152250608294493	0.374302713140157	0.342611179075659	"8897/22874"	2
"R-HSA-72766"	"Translation"	"4/38"	"291/10654"	0.0194037232158587	0.374302713140157	0.342611179075659	"219927/116540/65993/64969"	4
"R-HSA-68877"	"Mitotic Prometaphase"	"3/38"	"200/10654"	0.0339783595689841	0.374302713140157	0.342611179075659	"51143/79441/27229"	3
"R-HSA-380270"	"Recruitment of mitotic centrosome proteins and complexes"	"2/38"	"82/10654"	0.0344012681569074	0.374302713140157	0.342611179075659	"79441/27229"	2
"R-HSA-380287"	"Centrosome maturation"	"2/38"	"82/10654"	0.0344012681569074	0.374302713140157	0.342611179075659	"79441/27229"	2
"R-HSA-3215018"	"Processing and activation of SUMO"	"1/38"	"10/10654"	0.0351148908813333	0.374302713140157	0.342611179075659	"59343"	1
"R-HSA-1483255"	"PI Metabolism"	"2/38"	"84/10654"	0.0359507971485765	0.374302713140157	0.342611179075659	"8897/22874"	2
"R-HSA-381340"	"Transcriptional regulation of white adipocyte differentiation"	"2/38"	"84/10654"	0.0359507971485765	0.374302713140157	0.342611179075659	"9862/27332"	2
"R-HSA-1236977"	"Endosomal/Vacuolar pathway"	"1/38"	"11/10654"	0.0385596141194494	0.374302713140157	0.342611179075659	"4012"	1
"R-HSA-3371511"	"HSF1 activation"	"1/38"	"12/10654"	0.0419923619032944	0.374302713140157	0.342611179075659	"3297"	1
"R-HSA-6804756"	"Regulation of TP53 Activity through Phosphorylation"	"2/38"	"92/10654"	0.0424122804452548	0.374302713140157	0.342611179075659	"8445/5810"	2
"R-HSA-380320"	"Recruitment of NuMA to mitotic centrosomes"	"2/38"	"94/10654"	0.0440913381442553	0.374302713140157	0.342611179075659	"79441/27229"	2
"R-HSA-1632852"	"Macroautophagy"	"2/38"	"95/10654"	0.0449401287667728	0.374302713140157	0.342611179075659	"8897/10452"	2
"R-HSA-3371568"	"Attenuation phase"	"1/38"	"14/10654"	0.0488220930182813	0.374302713140157	0.342611179075659	"3297"	1
"R-HSA-428540"	"Activation of RAC1"	"1/38"	"14/10654"	0.0488220930182813	0.374302713140157	0.342611179075659	"6655"	1
"R-HSA-8983432"	"Interleukin-15 signaling"	"1/38"	"14/10654"	0.0488220930182813	0.374302713140157	0.342611179075659	"6655"	1
"R-HSA-2214320"	"Anchoring fibril formation"	"1/38"	"15/10654"	0.0522191569717871	0.382149285111715	0.349793395983263	"1287"	1
"R-HSA-199220"	"Vitamin B5 (pantothenate) metabolism"	"1/38"	"17/10654"	0.0589778822331232	0.385404878260726	0.352773343945744	"79717"	1
"R-HSA-2243919"	"Crosslinking of collagen fibrils"	"1/38"	"18/10654"	0.0623396233702054	0.385404878260726	0.352773343945744	"1287"	1
"R-HSA-1989781"	"PPARA activates gene expression"	"2/38"	"117/10654"	0.0650687891011735	0.385404878260726	0.352773343945744	"9862/133522"	2
"R-HSA-74259"	"Purine catabolism"	"1/38"	"19/10654"	0.065689669845566	0.385404878260726	0.352773343945744	"9615"	1
"R-HSA-400206"	"Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)"	"2/38"	"119/10654"	0.0670269353496914	0.385404878260726	0.352773343945744	"9862/133522"	2
"R-HSA-9612973"	"Autophagy"	"2/38"	"119/10654"	0.0670269353496914	0.385404878260726	0.352773343945744	"8897/10452"	2
"R-HSA-5205685"	"Pink/Parkin Mediated Mitophagy"	"1/38"	"22/10654"	0.0756700365203362	0.407565332304111	0.373057512406509	"10452"	1
"R-HSA-194315"	"Signaling by Rho GTPases"	"4/38"	"455/10654"	0.0773778113044653	0.407565332304111	0.373057512406509	"57584/51143/114793/6655"	4
"R-HSA-3371571"	"HSF1-dependent transactivation"	"1/38"	"24/10654"	0.0822658632902493	0.407565332304111	0.373057512406509	"3297"	1
"R-HSA-194840"	"Rho GTPase cycle"	"2/38"	"138/10654"	0.0865637254727589	0.407565332304111	0.373057512406509	"57584/6655"	2
