"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-193704"	"p75 NTR receptor-mediated signalling"	"4/41"	"97/10654"	0.000505091209341452	0.0550148148942427	0.0428032884760699	"9181/4790/3551/9828"	4
"R-HSA-209560"	"NF-kB is activated and signals survival"	"2/41"	"13/10654"	0.0010972177655423	0.0550148148942427	0.0428032884760699	"4790/3551"	2
"R-HSA-8956320"	"Nucleobase biosynthesis"	"2/41"	"15/10654"	0.00146984189630439	0.0550148148942427	0.0428032884760699	"790/2618"	2
"R-HSA-193639"	"p75NTR signals via NF-kB"	"2/41"	"16/10654"	0.00167573174413578	0.0550148148942427	0.0428032884760699	"4790/3551"	2
"R-HSA-5684264"	"MAP3K8 (TPL2)-dependent MAPK1/3 activation"	"2/41"	"16/10654"	0.00167573174413578	0.0550148148942427	0.0428032884760699	"4790/3551"	2
"R-HSA-1810476"	"RIP-mediated NFkB activation via ZBP1"	"2/41"	"17/10654"	0.00189454244761788	0.0550148148942427	0.0428032884760699	"4790/3551"	2
"R-HSA-73887"	"Death Receptor Signalling"	"4/41"	"141/10654"	0.00203610836238631	0.0550148148942427	0.0428032884760699	"9181/4790/3551/9828"	4
"R-HSA-1660514"	"Synthesis of PIPs at the Golgi membrane"	"2/41"	"18/10654"	0.00212617642103354	0.0550148148942427	0.0428032884760699	"5298/22908"	2
"R-HSA-1606322"	"ZBP1(DAI) mediated induction of type I IFNs"	"2/41"	"21/10654"	0.00289705000966999	0.0652027636194514	0.0507298389716556	"4790/3551"	2
"R-HSA-5260271"	"Diseases of Immune System"	"2/41"	"24/10654"	0.00377987035475081	0.0652027636194514	0.0507298389716556	"4790/3551"	2
"R-HSA-5602358"	"Diseases associated with the TLR signaling cascade"	"2/41"	"24/10654"	0.00377987035475081	0.0652027636194514	0.0507298389716556	"4790/3551"	2
"R-HSA-933542"	"TRAF6 mediated NF-kB activation"	"2/41"	"24/10654"	0.00377987035475081	0.0652027636194514	0.0507298389716556	"4790/3551"	2
"R-HSA-445989"	"TAK1 activates NFkB by phosphorylation and activation of IKKs complex"	"2/41"	"33/10654"	0.00707471505744524	0.112651232068551	0.0876462675132893	"4790/3551"	2
"R-HSA-983169"	"Class I MHC mediated antigen processing & presentation"	"5/41"	"371/10654"	0.0133349990494577	0.16292173979397	0.12675833302048	"2209/122769/57520/6047/3551"	5
"R-HSA-73762"	"RNA Polymerase I Transcription Initiation"	"2/41"	"47/10654"	0.0140015385615755	0.16292173979397	0.12675833302048	"1108/7343"	2
"R-HSA-194840"	"Rho GTPase cycle"	"3/41"	"138/10654"	0.0158328510045589	0.16292173979397	0.12675833302048	"9181/57514/9828"	3
"R-HSA-68875"	"Mitotic Prophase"	"3/41"	"142/10654"	0.0170794812562015	0.16292173979397	0.12675833302048	"9133/54892/23310"	3
