"SYMBOL"	"ENTREZID"
"AAR2"	"25980"
"ABCA2"	"20"
"ABCB6"	"10058"
"ABCD1"	"215"
"ABCD4"	"5826"
"ABCG5"	"64240"
"AC008695.1"	NA
"ACKR3"	"57007"
"ACP5"	"54"
"ACRV1"	"56"
"ACTR8"	"93973"
"ADAM11"	"4185"
"ADAM19"	"8728"
"ADAM23"	"8745"
"ADAMTS19"	"171019"
"ADGRG2"	"10149"
"ADH1B"	"125"
"ADRA2B"	"151"
"ADRB1"	"153"
"AFAP1L2"	"84632"
"AGA"	"175"
"AGGF1"	"55109"
"AGPAT2"	"10555"
"AHCY"	"191"
"AIFM2"	"84883"
"AKR7A2"	"8574"
"ALAD"	"210"
"ALAS1"	"211"
"ALG12"	"79087"
"ALG3"	"10195"
"ALG9"	"79796"
"ALMS1"	"7840"
"ALPG"	"251"
"ALX1"	"8092"
"ALX3"	"257"
"AMN"	"81693"
"ANAPC2"	"29882"
"ANKRD10"	"55608"
"ANKRD13D"	"338692"
"ANKRD37"	"353322"
"ANKRD53"	"79998"
"ANTXR2"	"118429"
"AP3B1"	"8546"
"APH1B"	"83464"
"APLP2"	"334"
"APOL1"	"8542"
"APOLD1"	"81575"
"APOOL"	"139322"
"ARHGAP1"	"392"
"ARHGAP32"	"9743"
"ARHGAP6"	"395"
"ARHGEF2"	"9181"
"ARHGEF40"	"55701"
"ARID4A"	"5926"
"ARIH2OS"	"646450"
"ARL15"	"54622"
"ARL8B"	"55207"
"ARNT2"	"9915"
"ARSB"	"411"
"ASCL2"	"430"
"ASF1B"	"55723"
"ASRGL1"	"80150"
"ASTL"	"431705"
"ASTN1"	"460"
"ASXL2"	"55252"
"ATAD2"	"29028"
"ATAD2B"	"54454"
"ATF1"	"466"
"ATF7IP"	"55729"
"ATG12"	"9140"
"ATG4B"	"23192"
"ATOH1"	"474"
"ATP13A3"	"79572"
"ATP2A2"	"488"
"ATP5PO"	"539"
"ATP6AP2"	"10159"
"ATP6V1B1"	"525"
"ATP6V1F"	"9296"
"ATP8A1"	"10396"
"ATP8A2"	"51761"
"ATP8B2"	"57198"
"AURKAIP1"	"54998"
"AZGP1"	"563"
"AZIN1"	"51582"
"BACH2"	"60468"
"BAP1"	"8314"
"BAZ1A"	"11177"
"BBS10"	"79738"
"BBS2"	"583"
"BCDIN3D"	"144233"
"BCL7A"	"605"
"BCORL1"	"63035"
"BEND3"	"57673"
"BEND4"	"389206"
"BHLHA15"	"168620"
"BLM"	"641"
"BLOC1S1"	"2647"
"BMP4"	"652"
"BMP8A"	"353500"
"BORA"	"79866"
"BRICD5"	"283870"
"BRINP2"	"57795"
"BRIP1"	"83990"
"BRMS1L"	"84312"
"BRPF3"	"27154"
"BRSK1"	"84446"
"BTBD2"	"55643"
"BUB1"	"699"
"BUD31"	"8896"
"C12orf10"	"60314"
"C12orf45"	"121053"
"C15orf62"	"643338"
"C17orf50"	"146853"
"C1D"	"10438"
"C1GALT1C1"	"29071"
"C2orf72"	"257407"
"C7orf31"	"136895"
"CA10"	"56934"
"CABP1"	"9478"
"CACNA1I"	"8911"
"CACNA2D2"	"9254"
"CACNB4"	"785"
"CALML6"	"163688"
"CAPN10"	"11132"
"CAPN7"	"23473"
"CAPZA1"	"829"
"CARD9"	"64170"
"CARHSP1"	"23589"
"CASP6"	"839"
"CATSPERZ"	"25858"
"CBFB"	"865"
"CBS"	"875"
"CC2D1A"	"54862"
"CC2D1B"	"200014"
"CCDC110"	"256309"
"CCDC134"	"79879"
"CCDC22"	"28952"
"CCDC24"	"149473"
"CCDC65"	"85478"
"CCDC84"	"338657"
"CCNB1"	"891"
"CCT8L2"	"150160"
"CD14"	"929"
"CD19"	"930"
"CD274"	"29126"
"CD320"	"51293"
"CD72"	"971"
"CDC5L"	"988"
"CDCA5"	"113130"
"CDH9"	"1007"
"CDK10"	"8558"
"CDK16"	"5127"
"CDYL"	"9425"
"CEBPZ"	"10153"
"CENPF"	"1063"
"CENPM"	"79019"
"CEP97"	"79598"
"CEPT1"	"10390"
"CFAP410"	"755"
"CFAP47"	"286464"
"CHAMP1"	"283489"
"CHD1"	"1105"
"CHEK1"	"1111"
"CHM"	"1121"
"CHP2"	"63928"
"CHPF"	"79586"
"CHST5"	"23563"
"CIAO3"	"64428"
"CLK4"	"57396"
"CNKSR2"	"22866"
"CNOT10"	"25904"
"CNOT7"	"29883"
"CNST"	"163882"
"CNTFR"	"1271"
"CNTN2"	"6900"
"COG1"	"9382"
"COL3A1"	"1281"
"COL4A3"	"1285"
"COL4A4"	"1286"
"COL5A1"	"1289"
"COL5A2"	"1290"
"COPRS"	"55352"
"COPS4"	"51138"
"COQ2"	"27235"
"COQ6"	"51004"
"COX19"	"90639"
"CPSF6"	"11052"
"CR1L"	"1379"
"CRB1"	"23418"
"CREB3"	"10488"
"CRLF3"	"51379"
"CRYBA4"	"1413"
"CRYGD"	"1421"
"CSF2RB"	"1439"
"CSRNP1"	"64651"
"CUL4A"	"8451"
"CYP4Z1"	"199974"
"CYTH1"	"9267"
"DALRD3"	"55152"
"DCAF7"	"10238"
"DCANP1"	"140947"
"DCP2"	"167227"
"DDX10"	"1662"
"DDX19A"	"55308"
"DDX21"	"9188"
"DDX23"	"9416"
"DDX39A"	"10212"
"DDX42"	"11325"
"DDX58"	"23586"
"DDX59"	"83479"
"DEAF1"	"10522"
"DENND5B"	"160518"
"DGCR2"	"9993"
"DGKD"	"8527"
"DGKZ"	"8525"
"DHCR7"	"1717"
"DHX35"	"60625"
"DHX36"	"170506"
"DHX8"	"1659"
"DIAPH2"	"1730"
"DKK1"	"22943"
"DLG4"	"1742"
"DLGAP5"	"9787"
"DLST"	"1743"
"DNAJB6"	"10049"
"DNAJC17"	"55192"
"DNLZ"	"728489"
"DNMT3B"	"1789"
"DOCK11"	"139818"
"DPP6"	"1804"
"DRC1"	"92749"
"DRD5"	"1816"
"DRG1"	"4733"
"DSC3"	"1825"
"DTL"	"51514"
"DUS4L"	"11062"
"DUSP26"	"78986"
"DUSP6"	"1848"
"DYNC1LI1"	"51143"
"DYNLRB2"	"83657"
"EBNA1BP2"	"10969"
"ECEL1"	"9427"
"EDN2"	"1907"
"EFHC2"	"80258"
"EGLN1"	"54583"
"EIF3D"	"8664"
"EIF3H"	"8667"
"EIF3M"	"10480"
"EIF4G2"	"1982"
"ELOVL4"	"6785"
"EMC1"	"23065"
"EMC7"	"56851"
"EML1"	"2009"
"ENDOG"	"2021"
"ENG"	"2022"
"ENO1"	"2023"
"ENSA"	"2029"
"EOMES"	"8320"
"EP300"	"2033"
"EPO"	"2056"
"EPRS1"	"2058"
"EPS15"	"2060"
"ERBB4"	"2066"
"ERCC3"	"2071"
"ERRFI1"	"54206"
"ESRRB"	"2103"
"EVI5L"	"115704"
"EXOSC6"	"118460"
"EXOSC8"	"11340"
"EYA2"	"2139"
"F13A1"	"2162"
"F2RL1"	"2150"
"FAAP20"	"199990"
"FAM111A"	"63901"
"FAM120AOS"	"158293"
"FAM126A"	"84668"
"FAM126B"	"285172"
"FAM149B1"	"317662"
"FAM160A1"	"729830"
"FAM160A2"	"84067"
"FAM161A"	"84140"
"FAM174C"	"55009"
"FAM214A"	"56204"
"FBLN1"	"2192"
"FBXL16"	"146330"
"FBXL19"	"54620"
"FBXL4"	"26235"
"FBXO25"	"26260"
"FBXO38"	"81545"
"FBXO41"	"150726"
"FBXW9"	"84261"
"FCGR1A"	"2209"
"FCHO2"	"115548"
"FCHSD2"	"9873"
"FDX1"	"2230"
"FER"	"2241"
"FGF4"	"2249"
"FIG4"	"9896"
"FLNA"	"2316"
"FLT4"	"2324"
"FLVCR2"	"55640"
"FMN2"	"56776"
"FNDC3A"	"22862"
"FNDC3B"	"64778"
"FNIP2"	"57600"
"FOXD3"	"27022"
"FOXI1"	"2299"
"FOXK1"	"221937"
"FOXO1"	"2308"
"FREM3"	"166752"
"FRMPD3"	"84443"
"FRMPD4"	"9758"
"FUT7"	"2529"
"FZD1"	"8321"
"FZD7"	"8324"
"GALNT5"	"11227"
"GAS8"	"2622"
"GATA6"	"2627"
"GATAD2A"	"54815"
"GATB"	"5188"
"GATM"	"2628"
"GDF15"	"9518"
"GDF6"	"392255"
"GET4"	"51608"
"GGA1"	"26088"
"GGPS1"	"9453"
"GIMAP8"	"155038"
"GJA3"	"2700"
"GJB2"	"2706"
"GK2"	"2712"
"GLDN"	"342035"
"GLG1"	"2734"
"GLI2"	"2736"
"GLMN"	"11146"
"GLRX2"	"51022"
"GLUL"	"2752"
"GNLY"	"10578"
"GNPAT"	"8443"
"GPAA1"	"8733"
"GPC2"	"221914"
"GPC3"	"2719"
"GPC6"	"10082"
"GPR137"	"56834"
"GPR162"	"27239"
"GRHL1"	"29841"
"GRM3"	"2913"
"GSC2"	"2928"
"GSK3A"	"2931"
"GTF2A1L"	"11036"
"GTF2F1"	"2962"
"GTF2H1"	"2965"
"GTF2I"	"2969"
"GTF2IRD1"	"9569"
"GTF3C3"	"9330"
"GTPBP10"	"85865"
"H3-3B"	"3021"
"HACE1"	"57531"
"HAND2"	"9464"
"HASPIN"	"83903"
"HAUS2"	"55142"
"HDAC4"	"9759"
"HDAC8"	"55869"
"HDC"	"3067"
"HECW1"	"23072"
"HECW2"	"57520"
"HERPUD2"	"64224"
"HES4"	"57801"
"HEXIM1"	"10614"
"HEY2"	"23493"
"HIBCH"	"26275"
"HINT3"	"135114"
"HMBOX1"	"79618"
"HMGA2"	"8091"
"HMGB1"	"3146"
"HMGCS2"	"3158"
"HMX1"	"3166"
"HNF4A"	"3172"
"HNRNPDL"	"9987"
"HOXA11"	"3207"
"HOXA13"	"3209"
"HOXB8"	"3218"
"HOXC10"	"3226"
"HOXC6"	"3223"
"HOXD12"	"3238"
"HOXD9"	"3235"
"HP1BP3"	"50809"
"HRG"	"3273"
"HROB"	"78995"
"HSD17B1"	"3292"
"HUS1"	"3364"
"ID1"	"3397"
"IDO2"	"169355"
"IFI35"	"3430"
"IFRD1"	"3475"
"IFT20"	"90410"
"IFT27"	"11020"
"IGIP"	"492311"
"IGSF9B"	"22997"
"IL10RA"	"3587"
"IL17RB"	"55540"
"IL1R1"	"3554"
"IL1RAPL2"	"26280"
"IL25"	"64806"
"ING5"	"84289"
"INO80D"	"54891"
"INPP5A"	"3632"
"INPPL1"	"3636"
"INTS13"	"55726"
"INTS7"	"25896"
"IP6K3"	"117283"
"IPMK"	"253430"
"IPO11"	"51194"
"IQSEC2"	"23096"
"IRAK4"	"51135"
"IRF2BP1"	"26145"
"IRF6"	"3664"
"IRS1"	"3667"
"ISY1"	"57461"
"ISY1-RAB43"	"100534599"
"ITGA2"	"3673"
"ITGA6"	"3655"
"ITGA8"	"8516"
"ITM2C"	"81618"
"JAGN1"	"84522"
"JAKMIP1"	"152789"
"JMJD6"	"23210"
"JPH4"	"84502"
"KANSL2"	"54934"
"KAT14"	"57325"
"KBTBD4"	"55709"
"KCNA4"	"3739"
"KCNB1"	"3745"
"KCND2"	"3751"
"KCNH2"	"3757"
"KCNH4"	"23415"
"KCTD7"	"154881"
"KDM3A"	"55818"
"KDM7A"	"80853"
"KIF14"	"9928"
"KIF5A"	"3798"
"KLHDC10"	"23008"
"KLHL10"	"317719"
"KLHL12"	"59349"
"KLHL2"	"11275"
"KLHL35"	"283212"
"KMT5A"	"387893"
"KPNA4"	"3840"
"L1CAM"	"3897"
"LAMB3"	"3914"
"LAMTOR4"	"389541"
"LAMTOR5"	"10542"
"LARP1"	"23367"
"LARS2"	"23395"
"LBR"	"3930"
"LCN6"	"158062"
"LCP2"	"3937"
"LEFTY2"	"7044"
"LEO1"	"123169"
"LGALS3"	"3958"
"LHCGR"	"3973"
"LHX3"	"8022"
"LHX4"	"89884"
"LIF"	"3976"
"LIN9"	"286826"
"LIPN"	"643418"
"LIX1L"	"128077"
"LKAAEAR1"	"198437"
"LLGL1"	"3996"
"LMO2"	"4005"
"LPIN3"	"64900"
"LRBA"	"987"
"LRRC37B"	"114659"
"LRRC43"	"254050"
"LRRTM1"	"347730"
"LRSAM1"	"90678"
"LSG1"	"55341"
"LSM1"	"27257"
"LSM11"	"134353"
"LTO1"	"220064"
"LYST"	"1130"
"MAGOH"	"4116"
"MAOA"	"4128"
"MAP2"	"4133"
"MAP2K2"	"5605"
"MAP4K5"	"11183"
"MAPK7"	"5598"
"MAPKAP1"	"79109"
"MARK4"	"57787"
"MASP1"	"5648"
"MBD6"	"114785"
"MBOAT7"	"79143"
"MCCC2"	"64087"
"MCHR2"	"84539"
"MCM2"	"4171"
"MCM5"	"4174"
"MED14"	"9282"
"MED21"	"9412"
"MED24"	"9862"
"MEX3B"	"84206"
"MFN1"	"55669"
"MFNG"	"4242"
"MGP"	"4256"
"MIA3"	"375056"
"MICALL1"	"85377"
"MID2"	"11043"
"MIEF1"	"54471"
"MIPOL1"	"145282"
"MLLT3"	"4300"
"MMACHC"	"25974"
"MNS1"	"55329"
"MNX1"	"3110"
