"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-5368286"	"Mitochondrial translation initiation"	"23/654"	"87/10654"	1.40407544552822e-09	5.36356820191782e-07	5.16305637513536e-07	"54998/29088/54948/219927/6150/11222/64981/64978/26589/51642/116540/116541/78988/3396/51116/54460/51649/28957/65993/64969/51081/5018/55037"	23
"R-HSA-5389840"	"Mitochondrial translation elongation"	"23/654"	"87/10654"	1.40407544552822e-09	5.36356820191782e-07	5.16305637513536e-07	"54998/29088/54948/219927/6150/11222/64981/64978/26589/51642/116540/116541/78988/3396/51116/54460/51649/28957/65993/64969/51081/5018/55037"	23
"R-HSA-5419276"	"Mitochondrial translation termination"	"23/654"	"87/10654"	1.40407544552822e-09	5.36356820191782e-07	5.16305637513536e-07	"54998/29088/54948/219927/6150/11222/64981/64978/26589/51642/116540/116541/78988/3396/51116/54460/51649/28957/65993/64969/51081/5018/55037"	23
"R-HSA-5368287"	"Mitochondrial translation"	"23/654"	"93/10654"	5.74887004163521e-09	1.64705126692849e-06	1.5854778430615e-06	"54998/29088/54948/219927/6150/11222/64981/64978/26589/51642/116540/116541/78988/3396/51116/54460/51649/28957/65993/64969/51081/5018/55037"	23
"R-HSA-73894"	"DNA Repair"	"43/654"	"334/10654"	2.81014819313579e-06	0.000644085965866723	0.000620007432927644	"93973/121642/8314/83990/1111/51138/64708/8451/9937/51514/197342/2033/2071/2187/2965/3364/54891/57461/3838/4255/2956/4683/4913/10038/5395/10714/5427/353497/5536/5810/5893/144715/5982/9025/6118/83932/6612/51567/29089/124739/7486/7508/7528"	43
"R-HSA-72766"	"Translation"	"38/654"	"291/10654"	7.66819941029285e-06	0.00146462608736593	0.00140987245298016	"54998/8664/8667/10480/23395/29088/54948/219927/6150/11222/64981/64978/26589/51642/116540/116541/78988/3396/51116/54460/51649/28957/65993/64969/51081/5018/55037/6134/6136/23521/9045/200916/6155/6158/11224/6223/6734/51067"	38
"R-HSA-3700989"	"Transcriptional Regulation by TP53"	"41/654"	"365/10654"	0.000120128096352183	0.0196666854885146	0.0189314654100884	"84883/83990/27154/839/891/1111/1121/25904/29883/9337/1869/2033/2071/54815/2962/2965/3364/84289/387893/389541/10542/79109/4683/9891/5395/10848/10419/5875/5810/144715/5933/5982/6118/64121/27244/6872/6873/85456/8626/7296/7486"	41
"R-HSA-5696399"	"Global Genome Nucleotide Excision Repair (GG-NER)"	"15/654"	"84/10654"	0.000158550496510164	0.022712358625081	0.0218632789924542	"93973/51138/64708/8451/2071/2965/54891/10038/10714/5427/5982/6118/6612/7508/7528"	15
"R-HSA-5685938"	"HDR through Single Strand Annealing (SSA)"	"9/654"	"37/10654"	0.000307713216262997	0.0391821495374883	0.0377173626483767	"83990/3364/4683/5810/5893/144715/5982/6118/7486"	9
"R-HSA-5696398"	"Nucleotide Excision Repair"	"17/654"	"111/10654"	0.000406776480818457	0.0466165847017951	0.044873868620815	"93973/51138/64708/8451/2033/2071/2965/54891/57461/10038/10714/5427/5982/6118/6612/7508/7528"	17
"R-HSA-5693616"	"Presynaptic phase of homologous DNA pairing and strand exchange"	"9/654"	"39/10654"	0.000469451178772718	0.0489082773521395	0.0470798885506037	"83990/1111/3364/4683/5810/144715/5982/6118/7486"	9
"R-HSA-5685942"	"HDR through Homologous Recombination (HRR)"	"12/654"	"67/10654"	0.000686736876594888	0.063980976030163	0.0615891089185366	"83990/1111/197342/3364/4683/10714/5427/5810/144715/5982/6118/7486"	12
