"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-3899300"	"SUMOylation of transcription cofactors"	"3/59"	"45/10654"	0.00194060962743966	0.377575426264541	0.366637908816649	"8535/1655/6612"	3
"R-HSA-110320"	"Translesion Synthesis by POLH"	"2/59"	"19/10654"	0.00485273397662133	0.377575426264541	0.366637908816649	"6118/83932"	2
"R-HSA-912631"	"Regulation of signaling by CBL"	"2/59"	"22/10654"	0.00648601772334509	0.377575426264541	0.366637908816649	"5296/7409"	2
"R-HSA-199977"	"ER to Golgi Anterograde Transport"	"4/59"	"154/10654"	0.0103224699799127	0.377575426264541	0.366637908816649	"84342/11014/375056/9632"	4
"R-HSA-5368286"	"Mitochondrial translation initiation"	"3/59"	"87/10654"	0.0123046996885149	0.377575426264541	0.366637908816649	"219927/64981/116541"	3
"R-HSA-5389840"	"Mitochondrial translation elongation"	"3/59"	"87/10654"	0.0123046996885149	0.377575426264541	0.366637908816649	"219927/64981/116541"	3
"R-HSA-5419276"	"Mitochondrial translation termination"	"3/59"	"87/10654"	0.0123046996885149	0.377575426264541	0.366637908816649	"219927/64981/116541"	3
"R-HSA-389356"	"CD28 co-stimulation"	"2/59"	"33/10654"	0.014259061378231	0.377575426264541	0.366637908816649	"5296/7409"	2
"R-HSA-5694530"	"Cargo concentration in the ER"	"2/59"	"33/10654"	0.014259061378231	0.377575426264541	0.366637908816649	"375056/9632"	2
"R-HSA-5368287"	"Mitochondrial translation"	"3/59"	"93/10654"	0.0147174267780481	0.377575426264541	0.366637908816649	"219927/64981/116541"	3
"R-HSA-114604"	"GPVI-mediated activation cascade"	"2/59"	"35/10654"	0.0159553915797015	0.377575426264541	0.366637908816649	"5296/7409"	2
"R-HSA-3108232"	"SUMO E3 ligases SUMOylate target proteins"	"4/59"	"182/10654"	0.0180806017726273	0.377575426264541	0.366637908816649	"8535/1655/5905/6612"	4
"R-HSA-948021"	"Transport to the Golgi and subsequent modification"	"4/59"	"185/10654"	0.0190794676894952	0.377575426264541	0.366637908816649	"84342/11014/375056/9632"	4
"R-HSA-110313"	"Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template"	"2/59"	"39/10654"	0.0195921905642623	0.377575426264541	0.366637908816649	"6118/83932"	2
"R-HSA-2990846"	"SUMOylation"	"4/59"	"188/10654"	0.0201120990667102	0.377575426264541	0.366637908816649	"8535/1655/5905/6612"	4
"R-HSA-69620"	"Cell Cycle Checkpoints"	"5/59"	"293/10654"	0.0227177971285657	0.377575426264541	0.366637908816649	"64682/64326/5905/9025/6118"	5
"R-HSA-1433557"	"Signaling by SCF-KIT"	"2/59"	"43/10654"	0.0235416347435995	0.377575426264541	0.366637908816649	"5296/7409"	2
"R-HSA-5696395"	"Formation of Incision Complex in GG-NER"	"2/59"	"43/10654"	0.0235416347435995	0.377575426264541	0.366637908816649	"6118/6612"	2
"R-HSA-109704"	"PI3K Cascade"	"2/59"	"44/10654"	0.0245760769454919	0.377575426264541	0.366637908816649	"2323/5296"	2
"R-HSA-451927"	"Interleukin-2 family signaling"	"2/59"	"44/10654"	0.0245760769454919	0.377575426264541	0.366637908816649	"84868/5296"	2
"R-HSA-4615885"	"SUMOylation of DNA replication proteins"	"2/59"	"45/10654"	0.0256288893788896	0.377575426264541	0.366637908816649	"5905/6612"	2
"R-HSA-112399"	"IRS-mediated signalling"	"2/59"	"48/10654"	0.0288952796618766	0.377575426264541	0.366637908816649	"2323/5296"	2
"R-HSA-512988"	"Interleukin-3, Interleukin-5 and GM-CSF signaling"	"2/59"	"48/10654"	0.0288952796618766	0.377575426264541	0.366637908816649	"5296/7409"	2
"R-HSA-73893"	"DNA Damage Bypass"	"2/59"	"48/10654"	0.0288952796618766	0.377575426264541	0.366637908816649	"6118/83932"	2
