"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-3700989"	"Transcriptional Regulation by TP53"	"45/651"	"365/10654"	4.7049121368516e-06	0.00535419001173712	0.00512587795962254	"AIFM2/BIRC5/BRIP1/BRPF1/BRPF3/CASP6/CCNB1/CHEK1/CNOT10/CNOT7/CNOT8/ERCC3/G6PD/GATAD2A/GTF2F1/GTF2H1/HUS1/ING5/KMT5A/LAMTOR4/LAMTOR5/MAPKAP1/MDM4/MOV10/MRE11/NBN/NUAK1/PMS2/PPP1R13L/PRMT5/PRR5/RABGGTA/RAD9B/RBL1/RFC2/RPA2/RRAGC/SESN1/TAF1/TNRC6B/TNRC6C/TP63/TXNRD1/WRN/YWHAB"	45
"R-HSA-5693616"	"Presynaptic phase of homologous DNA pairing and strand exchange"	"10/651"	"39/10654"	8.53059870899038e-05	0.0321307171859177	0.0307606070552445	"BRIP1/CHEK1/HUS1/MRE11/NBN/RAD51C/RAD9B/RFC2/RPA2/WRN"	10
"R-HSA-72766"	"Translation"	"35/651"	"291/10654"	8.96271928509162e-05	0.0321307171859177	0.0307606070552445	"AURKAIP1/EIF3H/EIF3M/MRPL15/MRPL3/MRPL34/MRPL38/MRPL46/MRPL48/MRPL54/MRPL57/MRPL58/MRPS23/MRPS28/MRPS7/OXA1L/PTCD3/QARS1/RPL10/RPL12/RPL13A/RPL14/RPL22L1/RPL27/RPL28/RPL35/RPL8/RPLP1/RPS19/RPS24/SARS2/SRPRA/SRPRB/SSR1/YARS2"	35
"R-HSA-73894"	"DNA Repair"	"38/651"	"334/10654"	0.000148179234946528	0.0321307171859177	0.0307606070552445	"ACTR8/ALKBH2/BAP1/BRIP1/CHEK1/COPS4/CUL4A/DCLRE1A/DCLRE1C/ERCC3/EYA2/FAAP20/GTF2H1/HUS1/INO80D/ISY1/ISY1-RAB43/KPNA2/MGMT/MRE11/MSH3/MSH6/NBN/NEIL1/NTHL1/PARP2/PMS2/POLE2/PPP5C/RAD51C/RAD9B/RFC2/RNF8/RPA2/SPRTN/UBE2T/WRN/XPC"	38
"R-HSA-5693579"	"Homologous DNA Pairing and Strand Exchange"	"10/651"	"42/10654"	0.000167158686268066	0.0321307171859177	0.0307606070552445	"BRIP1/CHEK1/HUS1/MRE11/NBN/RAD51C/RAD9B/RFC2/RPA2/WRN"	10
"R-HSA-5368286"	"Mitochondrial translation initiation"	"15/651"	"87/10654"	0.000225874989004694	0.0321307171859177	0.0307606070552445	"AURKAIP1/MRPL15/MRPL3/MRPL34/MRPL38/MRPL46/MRPL48/MRPL54/MRPL57/MRPL58/MRPS23/MRPS28/MRPS7/OXA1L/PTCD3"	15
"R-HSA-5389840"	"Mitochondrial translation elongation"	"15/651"	"87/10654"	0.000225874989004694	0.0321307171859177	0.0307606070552445	"AURKAIP1/MRPL15/MRPL3/MRPL34/MRPL38/MRPL46/MRPL48/MRPL54/MRPL57/MRPL58/MRPS23/MRPS28/MRPS7/OXA1L/PTCD3"	15
"R-HSA-5419276"	"Mitochondrial translation termination"	"15/651"	"87/10654"	0.000225874989004694	0.0321307171859177	0.0307606070552445	"AURKAIP1/MRPL15/MRPL3/MRPL34/MRPL38/MRPL46/MRPL48/MRPL54/MRPL57/MRPL58/MRPS23/MRPS28/MRPS7/OXA1L/PTCD3"	15
"R-HSA-5633007"	"Regulation of TP53 Activity"	"22/651"	"160/10654"	0.000283457206725262	0.0328244257837955	0.0314247347019039	"BRIP1/BRPF1/BRPF3/CHEK1/GATAD2A/HUS1/ING5/KMT5A/MAPKAP1/MDM4/MRE11/NBN/NUAK1/PPP1R13L/PRMT5/PRR5/RAD9B/RFC2/RPA2/TAF1/TP63/WRN"	22
"R-HSA-9010553"	"Regulation of expression of SLITs and ROBOs"	"23/651"	"171/10654"	0.00028843959388221	0.0328244257837955	0.0314247347019039	"DAG1/LHX3/LHX4/MAGOH/PSMA3/PSMA7/PSMD2/PSMF1/RPL10/RPL12/RPL13A/RPL14/RPL22L1/RPL27/RPL28/RPL35/RPL8/RPLP1/RPS19/RPS24/SLIT2/UPF2/UPF3A"	23
"R-HSA-5368287"	"Mitochondrial translation"	"15/651"	"93/10654"	0.000476940128863421	0.0493416242405975	0.0472376108491522	"AURKAIP1/MRPL15/MRPL3/MRPL34/MRPL38/MRPL46/MRPL48/MRPL54/MRPL57/MRPL58/MRPS23/MRPS28/MRPS7/OXA1L/PTCD3"	15
