"SYMBOL"	"ENTREZID"
"POLD3"	"10714"
"CARS1"	"833"
"IL10RA"	"3587"
"CCDC84"	"338657"
"IGSF9B"	"22997"
"LTBP3"	"4054"
"PPP1CA"	"5499"
"PPP6R3"	"55291"
"FCHSD2"	"9873"
"SSRP1"	"6749"
"LRP5"	"4041"
"TENM4"	"26011"
"KMT2A"	"4297"
"USP47"	"55031"
"NCAPD3"	"23310"
"RIC8A"	"60626"
"TTC17"	"55761"
"TAF6L"	"10629"
"ATG2A"	"23130"
"KAT5"	"10524"
"NUMA1"	"4926"
"RSF1"	"51773"
"SRPRA"	"6734"
"GTF2H1"	"2965"
"SPTBN2"	"6712"
"KMT5B"	"51111"
"CHEK1"	"1111"
"ZFP91"	"80829"
"MRPL16"	"54948"
"BACE1"	"23621"
"MRPL23"	"6150"
"ARHGAP1"	"392"
"NUP160"	"23279"
"MYRF"	"745"
"MEN1"	"4221"
"MUS81"	"80198"
"ELP4"	"26610"
"AMBRA1"	"55626"
"THAP12"	"5612"
"DDX10"	"1662"
"ZPR1"	"8882"
"TUT1"	"64852"
"FGF4"	"2249"
"ARHGEF17"	"9828"
"PTPMT1"	"114971"
"ARHGAP32"	"9743"
"ASCL2"	"430"
"PCF11"	"51585"
"YAP1"	"10413"
"PRMT3"	"10196"
"CHKA"	"1119"
"SHANK2"	"22941"
"NPAT"	"4863"
"FDX1"	"2230"
"LTO1"	"220064"
"HSPA4"	"3308"
"LCP2"	"3937"
"FBXO38"	"81545"
"ARAP3"	"64411"
"SLC9A3"	"6550"
"MTREX"	"23517"
"FER"	"2241"
"LMNB1"	"4001"
"OTULIN"	"90268"
"PPARGC1B"	"133522"
"CDH9"	"1007"
"RAD1"	"5810"
"DHX29"	"54505"
"MAP3K1"	"4214"
"SSBP2"	"23635"
"AFF4"	"27125"
"NRG2"	"9542"
"UTP15"	"84135"
"CTNNA1"	"1495"
"NDFIP1"	"80762"
"SOX30"	"11063"
"SLU7"	"10569"
"PPWD1"	"23398"
"TRAPPC13"	"80006"
"CHD1"	"1105"
"KCNN2"	"3781"
"SKP2"	"6502"
"RAPGEF6"	"51735"
"AC008695.1"	NA
"FNIP1"	"96459"
"TTC1"	"7265"
"TRIM41"	"90933"
"ZNF608"	"57507"
"MEGF10"	"84466"
"TCERG1"	"10915"
"PDGFRB"	"5159"
"GEMIN5"	"25929"
"DBN1"	"1627"
"TENT4A"	"11044"
"RASGRF2"	"5924"
"CYFIP2"	"26999"
"FLT4"	"2324"
"HTR1A"	"3350"
"AP3B1"	"8546"
"NDST1"	"3340"
"DDX54"	"79039"
"PHC1"	"1911"
"EPS8"	"2059"
"TULP3"	"7289"
"KCNH3"	"23416"
"TNFRSF1A"	"7132"
"ZFC3H1"	"196441"
"RIC8B"	"55188"
"HECTD4"	"283450"
"KMT5A"	"387893"
"ATN1"	"1822"
"C12orf45"	"121053"
"EP400"	"57634"
"NELL2"	"4753"
"RAB21"	"23011"
"SSH1"	"54434"
"RACGAP1"	"29127"
"GRIP1"	"23426"
"MLXIP"	"22877"
"SFSWAP"	"6433"
"PLEKHA5"	"54477"
"DDX23"	"9416"
"DIP2B"	"57609"
"GRASP"	"160622"
"PRR13"	"54458"
"KRT6A"	"3853"
"WASHC4"	"23325"
"DDX51"	"317781"
"SOX5"	"6660"
"KANSL2"	"54934"
"HOXC6"	"3223"
"BAZ2A"	"11176"
"KIF5A"	"3798"
"LPCAT3"	"10162"
"SNRNP35"	"11066"
"RFX4"	"5992"
"PWP1"	"11137"
"KDM2B"	"84678"
"GTF2H3"	"2967"
"ULK1"	"8408"
"NTN4"	"59277"
"GCN1"	"10985"
"SCAF11"	"9169"
"INTS13"	"55726"
"NAPA"	"8775"
"ARHGEF18"	"23370"
"GADD45GIP1"	"90480"
"MYO9B"	"4650"
"DDX49"	"54555"
"GATAD2A"	"54815"
"BTBD2"	"55643"
"DPP9"	"91039"
"PRR12"	"57479"
"BRSK1"	"84446"
"ZNF628"	"89887"
"MLLT1"	"4298"
"WIZ"	"58525"
"FCHO1"	"23149"
"JAK3"	"3718"
"HAUS5"	"23354"
"IRF2BP1"	"26145"
"GTF2F1"	"2962"
"ANGPTL6"	"83854"
"SGTA"	"6449"
"GRIK5"	"2901"
"SAFB2"	"9667"
"MAP2K7"	"5609"
"EPS15L1"	"58513"
"GTPBP3"	"84705"
"RPS19"	"6223"
"RFX1"	"5989"
"SCAMP4"	"113178"
"ZNF296"	"162979"
"ERCC1"	"2067"
"SAMD4B"	"55095"
"RASIP1"	"54922"
"CAMSAP3"	"57662"
"HNRNPM"	"4670"
"PIK3R2"	"5296"
"DMAC2"	"55101"
"NOP53"	"29997"
"DDX39A"	"10212"
"MAU2"	"23383"
"UBA2"	"10054"
"POU2F2"	"5452"
"MARK4"	"57787"
"TSKS"	"60385"
"ADD3"	"120"
"RET"	"5979"
"DKK1"	"22943"
"BCCIP"	"56647"
"SIRT1"	"23411"
"GRID1"	"2894"
"PPRC1"	"23082"
"HERC4"	"26091"
"PDCD11"	"22984"
"JMJD1C"	"221037"
"FAM171A1"	"221061"
"MASTL"	"84930"
"SFMBT2"	"57713"
"BLNK"	"29760"
"LCOR"	"84458"
"MLLT10"	"8028"
"RPP38"	"10557"
"IPMK"	"253430"
"ABLIM1"	"3983"
"ZEB1"	"6935"
"PRKCQ"	"5588"
"HKDC1"	"80201"
"ZMIZ1"	"57178"
"CNNM2"	"54805"
"SHANK3"	"85358"
"PRR5"	"55615"
"CELSR1"	"9620"
"MYH9"	"4627"
"CACNA1I"	"8911"
"PHF21B"	"112885"
"PRR14L"	"253143"
"DEPDC5"	"9681"
"MCM5"	"4174"
"BRD1"	"23774"
"CABIN1"	"23523"
"LIF"	"3976"
"LARGE1"	"9215"
"TNRC6B"	"23112"
"HSCB"	"150274"
"MICAL3"	"57553"
"HIC2"	"23119"
"SPECC1L"	"23384"
"CENPM"	"79019"
"THAP7"	"80764"
"GGA1"	"26088"
"SHARPIN"	"81858"
"PPP2R2A"	"5520"
"NRG1"	"3084"
"LSM1"	"27257"
"CHD7"	"55636"
"RPL8"	"6132"
"YTHDF3"	"253943"
"ATAD2"	"29028"
"MTBP"	"27085"
"RB1CC1"	"9821"
"VCPIP1"	"80124"
"IKBKB"	"3551"
"OSR2"	"116039"
"ZFPM2"	"23414"
"MTERF3"	"51001"
"TONSL"	"4796"
"MRPL15"	"29088"
"XKR4"	"114786"
"MRPS28"	"28957"
"WWP1"	"11059"
"EIF3H"	"8667"
"GINS4"	"84296"
"INTS8"	"55656"
"PHF20L1"	"51105"
"TASP1"	"55617"
"SLC24A3"	"57419"
"VPS16"	"64601"
"TPX2"	"22974"
"WFDC2"	"10406"
"ATP9A"	"10079"
"SALL4"	"57167"
"GNAS"	"2778"
"AHCY"	"191"
"PPP1R16B"	"26051"
"YWHAB"	"7529"
"ZNF217"	"7764"
"CHD6"	"84181"
"AURKA"	"6790"
"DLGAP4"	"22839"
"RBM39"	"9584"
"NFATC2"	"4773"
"PTPRT"	"11122"
"SLC12A5"	"57468"
"PHACTR3"	"116154"
"PLCG1"	"5335"
"ADRM1"	"11047"
"PCSK2"	"5126"
"TTI1"	"9675"
"TRMT6"	"51605"
"DNMT3B"	"1789"
"SULF2"	"55959"
"SYCP2"	"10388"
"XRN2"	"22803"
"ATRN"	"8455"
"SRC"	"6714"
"RALGAPB"	"57148"
"PAK5"	"57144"
"CRAMP1"	"57585"
"TEDC2"	"80178"
"ATMIN"	"23300"
"IRF8"	"3394"
"FBXL16"	"146330"
"SF3B3"	"23450"
"CCNF"	"899"
"TAOK2"	"9344"
"DDX19A"	"55308"
"CIAO3"	"64428"
"ORAI3"	"93129"
"VPS35"	"55737"
