"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-5368286"	"Mitochondrial translation initiation"	"17/536"	"87/10654"	1.2202849791397e-06	0.000437268784191725	0.000374220726936174	"54948/6150/90480/29088/28957/51023/54998/54460/63931/51069/51081/64978/10240/78988/55037/64969/26589"	17
"R-HSA-5389840"	"Mitochondrial translation elongation"	"17/536"	"87/10654"	1.2202849791397e-06	0.000437268784191725	0.000374220726936174	"54948/6150/90480/29088/28957/51023/54998/54460/63931/51069/51081/64978/10240/78988/55037/64969/26589"	17
"R-HSA-5419276"	"Mitochondrial translation termination"	"17/536"	"87/10654"	1.2202849791397e-06	0.000437268784191725	0.000374220726936174	"54948/6150/90480/29088/28957/51023/54998/54460/63931/51069/51081/64978/10240/78988/55037/64969/26589"	17
"R-HSA-5368287"	"Mitochondrial translation"	"17/536"	"93/10654"	3.21199036803245e-06	0.00086322241140872	0.000738757784647463	"54948/6150/90480/29088/28957/51023/54998/54460/63931/51069/51081/64978/10240/78988/55037/64969/26589"	17
"R-HSA-6791226"	"Major pathway of rRNA processing in the nucleolus and cytosol"	"24/536"	"185/10654"	1.81035024806508e-05	0.00389225303333993	0.00333104445643976	"23517/84135/54555/6223/22984/10557/6132/22803/28987/118460/8602/51118/200916/83732/55720/27043/6155/25926/6134/55131/65083/10171/6136/84128"	24
"R-HSA-8868773"	"rRNA processing in the nucleus and cytosol"	"24/536"	"195/10654"	4.34348202270376e-05	0.00778207195734424	0.00666000576814577	"23517/84135/54555/6223/22984/10557/6132/22803/28987/118460/8602/51118/200916/83732/55720/27043/6155/25926/6134/55131/65083/10171/6136/84128"	24
"R-HSA-4615885"	"SUMOylation of DNA replication proteins"	"10/536"	"45/10654"	6.17894923438603e-05	0.00819201808738828	0.00701084338641602	"23279/6790/10401/55746/55706/6396/7153/4927/332/81929"	10
"R-HSA-5685938"	"HDR through Single Strand Annealing (SSA)"	"9/536"	"37/10654"	6.77308336946873e-05	0.00819201808738828	0.00701084338641602	"10524/5810/2067/7156/672/3364/5982/25/5932"	9
"R-HSA-2990846"	"SUMOylation"	"23/536"	"188/10654"	6.85843374758089e-05	0.00819201808738828	0.00701084338641602	"23279/1911/10054/6790/1789/11315/10401/55746/55706/6396/80012/205564/2099/23512/7153/4927/672/332/10735/10210/8204/81929/8648"	23
"R-HSA-194315"	"Signaling by Rho GTPases"	"42/536"	"455/10654"	9.68586375042725e-05	0.00948292996242459	0.00811562378179593	"392/23279/4221/9828/9743/64411/1495/5924/26999/29127/3798/23370/4650/5296/4627/79019/7529/6714/5347/1060/9826/11243/55746/51143/6396/332/79003/395/7454/2316/4983/1730/653361/25/6453/6093/81929/114793/23332/25791/9475/4649"	42
