"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-5368286"	"Mitochondrial translation initiation"	"15/326"	"87/10654"	5.01491598242483e-08	1.60811639169756e-05	1.42705153043738e-05	"54948/6150/90480/29088/28957/51023/54998/54460/63931/51069/51081/64978/78988/64969/26589"	15
"R-HSA-5389840"	"Mitochondrial translation elongation"	"15/326"	"87/10654"	5.01491598242483e-08	1.60811639169756e-05	1.42705153043738e-05	"54948/6150/90480/29088/28957/51023/54998/54460/63931/51069/51081/64978/78988/64969/26589"	15
"R-HSA-5419276"	"Mitochondrial translation termination"	"15/326"	"87/10654"	5.01491598242483e-08	1.60811639169756e-05	1.42705153043738e-05	"54948/6150/90480/29088/28957/51023/54998/54460/63931/51069/51081/64978/78988/64969/26589"	15
"R-HSA-5368287"	"Mitochondrial translation"	"15/326"	"93/10654"	1.26029125292304e-07	3.03100046327991e-05	2.68972685821207e-05	"54948/6150/90480/29088/28957/51023/54998/54460/63931/51069/51081/64978/78988/64969/26589"	15
"R-HSA-72766"	"Translation"	"23/326"	"291/10654"	2.95094324569527e-05	0.00567761480471769	0.00503834731001865	"6734/54948/6150/90480/6223/6132/29088/28957/8667/51023/54998/54460/63931/200916/51069/6155/51081/64978/78988/6136/10056/64969/26589"	23
"R-HSA-4615885"	"SUMOylation of DNA replication proteins"	"8/326"	"45/10654"	5.65596160622939e-05	0.00906839177532113	0.00804734186430182	"23279/6790/55706/10401/7153/4927/332/81929"	8
"R-HSA-2990846"	"SUMOylation"	"16/326"	"188/10654"	0.000210163598422701	0.0279108527500844	0.0247682477079751	"23279/10054/6790/1789/55706/10401/11315/80012/205564/2099/23512/7153/4927/332/10735/81929"	16
"R-HSA-5696399"	"Global Genome Nucleotide Excision Repair (GG-NER)"	"10/326"	"84/10654"	0.000232106883576585	0.0279108527500844	0.0247682477079751	"10714/2965/2967/2067/51138/10401/3980/5982/54891/2071"	10
"R-HSA-5688426"	"Deubiquitination"	"21/326"	"297/10654"	0.00031147547605044	0.0332932675511693	0.0295446328744921	"6502/11047/4194/56957/51377/23358/84196/993/9868/6885/2099/3607/55593/221937/84132/7046/5684/57695/54891/55252/9960"	21
"R-HSA-9006934"	"Signaling by Receptor Tyrosine Kinases"	"28/326"	"473/10654"	0.000626019116644599	0.0602230390212104	0.0534422635367126	"2249/10413/1495/5159/26999/58513/4670/5296/55615/11059/7529/6714/10076/2099/535/5598/1287/6197/30011/1020/653361/9296/10253/5663/3320/5771/9475/2567"	28
"R-HSA-3108232"	"SUMO E3 ligases SUMOylate target proteins"	"14/326"	"182/10654"	0.00139728127197951	0.114380690072027	0.101502067675253	"23279/6790/1789/55706/10401/11315/80012/2099/23512/7153/4927/332/10735/81929"	14
"R-HSA-5696400"	"Dual Incision in GG-NER"	"6/326"	"41/10654"	0.00142678615474462	0.114380690072027	0.101502067675253	"10714/2965/2967/2067/5982/2071"	6
"R-HSA-194315"	"Signaling by Rho GTPases"	"26/326"	"455/10654"	0.00161783509561036	0.115930801790948	0.102877645532836	"392/23279/4221/1495/5924/26999/29127/3798/4650/5296/4627/79019/7529/6714/5347/1060/332/79003/1730/4983/7454/653361/81929/23332/25791/9475"	26
"R-HSA-5205647"	"Mitophagy"	"5/326"	"29/10654"	0.00168714264560631	0.115930801790948	0.102877645532836	"8408/51001/6714/55669/9868"	5
