"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-5368286"	"Mitochondrial translation initiation"	"4/31"	"87/10654"	0.000110300936222803	0.00771836810101353	0.00643197341751127	"29088/28957/63931/64969"	4
"R-HSA-5389840"	"Mitochondrial translation elongation"	"4/31"	"87/10654"	0.000110300936222803	0.00771836810101353	0.00643197341751127	"29088/28957/63931/64969"	4
"R-HSA-5419276"	"Mitochondrial translation termination"	"4/31"	"87/10654"	0.000110300936222803	0.00771836810101353	0.00643197341751127	"29088/28957/63931/64969"	4
"R-HSA-5368287"	"Mitochondrial translation"	"4/31"	"93/10654"	0.000142932742611362	0.00771836810101353	0.00643197341751127	"29088/28957/63931/64969"	4
"R-HSA-72766"	"Translation"	"5/31"	"291/10654"	0.00139277746718172	0.0601679865822504	0.050139988818542	"29088/28957/63931/10056/64969"	5
"R-HSA-445095"	"Interaction between L1 and Ankyrins"	"2/31"	"31/10654"	0.00361511586762257	0.130144171234413	0.108453476028677	"287/6323"	2
"R-HSA-5696395"	"Formation of Incision Complex in GG-NER"	"2/31"	"43/10654"	0.00686976122875995	0.202564780912025	0.168803984093354	"2067/10401"	2
"R-HSA-3899300"	"SUMOylation of transcription cofactors"	"2/31"	"45/10654"	0.00750449811459977	0.202564780912025	0.168803984093354	"10401/80012"	2
"R-HSA-194315"	"Signaling by Rho GTPases"	"5/31"	"455/10654"	0.00941986560048718	0.202564780912025	0.168803984093354	"392/3798/79019/1060/25791"	5
"R-HSA-72165"	"mRNA Splicing - Minor Pathway"	"2/31"	"52/10654"	0.00992540023366307	0.202564780912025	0.168803984093354	"11066/6432"	2
"R-HSA-606279"	"Deposition of new CENPA-containing nucleosomes at the centromere"	"2/31"	"74/10654"	0.0194330803614943	0.202564780912025	0.168803984093354	"79019/1060"	2
"R-HSA-774815"	"Nucleosome assembly"	"2/31"	"74/10654"	0.0194330803614943	0.202564780912025	0.168803984093354	"79019/1060"	2
"R-HSA-2219530"	"Constitutive Signaling by Aberrant PI3K in Cancer"	"2/31"	"75/10654"	0.0199296794767868	0.202564780912025	0.168803984093354	"2249/6801"	2
"R-HSA-5696399"	"Global Genome Nucleotide Excision Repair (GG-NER)"	"2/31"	"84/10654"	0.0246350279242925	0.202564780912025	0.168803984093354	"2067/10401"	2
"R-HSA-141424"	"Amplification of signal from the kinetochores"	"2/31"	"96/10654"	0.0315397668891894	0.202564780912025	0.168803984093354	"79019/1060"	2
"R-HSA-141444"	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	"2/31"	"96/10654"	0.0315397668891894	0.202564780912025	0.168803984093354	"79019/1060"	2
"R-HSA-1839122"	"Signaling by activated point mutants of FGFR1"	"1/31"	"11/10654"	0.0315597471403514	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-189451"	"Heme biosynthesis"	"1/31"	"11/10654"	0.0315597471403514	0.202564780912025	0.168803984093354	"211"	1
"R-HSA-4755510"	"SUMOylation of immune response proteins"	"1/31"	"11/10654"	0.0315597471403514	0.202564780912025	0.168803984093354	"10401"	1
"R-HSA-5625970"	"RHO GTPases activate KTN1"	"1/31"	"11/10654"	0.0315597471403514	0.202564780912025	0.168803984093354	"3798"	1
"R-HSA-176974"	"Unwinding of DNA"	"1/31"	"12/10654"	0.0343805352488403	0.202564780912025	0.168803984093354	"51659"	1
"R-HSA-1839130"	"Signaling by activated point mutants of FGFR3"	"1/31"	"12/10654"	0.0343805352488403	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-190373"	"FGFR1c ligand binding and activation"	"1/31"	"12/10654"	0.0343805352488403	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-2033514"	"FGFR3 mutant receptor activation"	"1/31"	"12/10654"	0.0343805352488403	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-2219528"	"PI3K/AKT Signaling in Cancer"	"2/31"	"101/10654"	0.0346180327039537	0.202564780912025	0.168803984093354	"2249/6801"	2
"R-HSA-6811558"	"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"	"2/31"	"103/10654"	0.0358811456699622	0.202564780912025	0.168803984093354	"2249/6801"	2
"R-HSA-190239"	"FGFR3 ligand binding and activation"	"1/31"	"13/10654"	0.037193371502109	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-190372"	"FGFR3c ligand binding and activation"	"1/31"	"13/10654"	0.037193371502109	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-190375"	"FGFR2c ligand binding and activation"	"1/31"	"13/10654"	0.037193371502109	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-5654227"	"Phospholipase C-mediated cascade; FGFR3"	"1/31"	"13/10654"	0.037193371502109	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-5658623"	"FGFRL1 modulation of FGFR1 signaling"	"1/31"	"13/10654"	0.037193371502109	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-190322"	"FGFR4 ligand binding and activation"	"1/31"	"14/10654"	0.0399982775714101	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-199418"	"Negative regulation of the PI3K/AKT network"	"2/31"	"110/10654"	0.0404408243352428	0.202564780912025	0.168803984093354	"2249/6801"	2
"R-HSA-73886"	"Chromosome Maintenance"	"2/31"	"110/10654"	0.0404408243352428	0.202564780912025	0.168803984093354	"79019/1060"	2
"R-HSA-1257604"	"PIP3 activates AKT signaling"	"3/31"	"264/10654"	0.0405848194352593	0.202564780912025	0.168803984093354	"2249/80012/6801"	3
"R-HSA-5696398"	"Nucleotide Excision Repair"	"2/31"	"111/10654"	0.0411094422126739	0.202564780912025	0.168803984093354	"2067/10401"	2
"R-HSA-69618"	"Mitotic Spindle Checkpoint"	"2/31"	"112/10654"	0.0417822825878712	0.202564780912025	0.168803984093354	"79019/1060"	2
"R-HSA-5654228"	"Phospholipase C-mediated cascade; FGFR4"	"1/31"	"15/10654"	0.0427952750709673	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-156711"	"Polo-like kinase mediated events"	"1/31"	"16/10654"	0.0455843855581185	0.202564780912025	0.168803984093354	"993"	1
"R-HSA-189445"	"Metabolism of porphyrins"	"1/31"	"16/10654"	0.0455843855581185	0.202564780912025	0.168803984093354	"211"	1
"R-HSA-190242"	"FGFR1 ligand binding and activation"	"1/31"	"16/10654"	0.0455843855581185	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-5654219"	"Phospholipase C-mediated cascade: FGFR1"	"1/31"	"16/10654"	0.0455843855581185	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-373760"	"L1CAM interactions"	"2/31"	"119/10654"	0.0466080191997123	0.202564780912025	0.168803984093354	"287/6323"	2
"R-HSA-2033519"	"Activated point mutants of FGFR2"	"1/31"	"17/10654"	0.0483656305334611	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-4655427"	"SUMOylation of DNA methylation proteins"	"1/31"	"17/10654"	0.0483656305334611	0.202564780912025	0.168803984093354	"80012"	1
"R-HSA-5654221"	"Phospholipase C-mediated cascade; FGFR2"	"1/31"	"18/10654"	0.0511390314409972	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-5654704"	"SHC-mediated cascade:FGFR3"	"1/31"	"18/10654"	0.0511390314409972	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-5654710"	"PI-3K cascade:FGFR3"	"1/31"	"18/10654"	0.0511390314409972	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-2500257"	"Resolution of Sister Chromatid Cohesion"	"2/31"	"126/10654"	0.0516296869047917	0.202564780912025	0.168803984093354	"79019/1060"	2
"R-HSA-69620"	"Cell Cycle Checkpoints"	"3/31"	"293/10654"	0.0525135162107192	0.202564780912025	0.168803984093354	"79019/1060/993"	3
"R-HSA-1362277"	"Transcription of E2F targets under negative control by DREAM complex"	"1/31"	"19/10654"	0.0539046096682751	0.202564780912025	0.168803984093354	"993"	1
"R-HSA-190241"	"FGFR2 ligand binding and activation"	"1/31"	"20/10654"	0.0566623865465343	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-3232118"	"SUMOylation of transcription factors"	"1/31"	"20/10654"	0.0566623865465343	0.202564780912025	0.168803984093354	"10401"	1
"R-HSA-5654706"	"FRS-mediated FGFR3 signaling"	"1/31"	"20/10654"	0.0566623865465343	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-5654719"	"SHC-mediated cascade:FGFR4"	"1/31"	"20/10654"	0.0566623865465343	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-5654720"	"PI-3K cascade:FGFR4"	"1/31"	"20/10654"	0.0566623865465343	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-9006925"	"Intracellular signaling by second messengers"	"3/31"	"305/10654"	0.0578995995435968	0.202564780912025	0.168803984093354	"2249/80012/6801"	3
"R-HSA-5654688"	"SHC-mediated cascade:FGFR1"	"1/31"	"21/10654"	0.0594123833508468	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-5654689"	"PI-3K cascade:FGFR1"	"1/31"	"21/10654"	0.0594123833508468	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-194840"	"Rho GTPase cycle"	"2/31"	"138/10654"	0.0606674009832134	0.202564780912025	0.168803984093354	"392/25791"	2
"R-HSA-5654712"	"FRS-mediated FGFR4 signaling"	"1/31"	"22/10654"	0.0621546213002611	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-5655332"	"Signaling by FGFR3 in disease"	"1/31"	"22/10654"	0.0621546213002611	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-8853338"	"Signaling by FGFR3 point mutants in cancer"	"1/31"	"22/10654"	0.0621546213002611	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-8862803"	"Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models"	"1/31"	"22/10654"	0.0621546213002611	0.202564780912025	0.168803984093354	"993"	1
"R-HSA-8863678"	"Neurodegenerative Diseases"	"1/31"	"22/10654"	0.0621546213002611	0.202564780912025	0.168803984093354	"993"	1
"R-HSA-5663220"	"RHO GTPases Activate Formins"	"2/31"	"140/10654"	0.0622238182329131	0.202564780912025	0.168803984093354	"79019/1060"	2
"R-HSA-5654693"	"FRS-mediated FGFR1 signaling"	"1/31"	"23/10654"	0.0648891215579447	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-5654695"	"PI-3K cascade:FGFR2"	"1/31"	"23/10654"	0.0648891215579447	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-5654699"	"SHC-mediated cascade:FGFR2"	"1/31"	"23/10654"	0.0648891215579447	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-379716"	"Cytosolic tRNA aminoacylation"	"1/31"	"24/10654"	0.0676159052313245	0.202564780912025	0.168803984093354	"10056"	1
"R-HSA-195258"	"RHO GTPase Effectors"	"3/31"	"327/10654"	0.0684349906147775	0.202564780912025	0.168803984093354	"3798/79019/1060"	3
"R-HSA-191273"	"Cholesterol biosynthesis"	"1/31"	"25/10654"	0.0703349933722309	0.202564780912025	0.168803984093354	"9453"	1
"R-HSA-5654700"	"FRS-mediated FGFR2 signaling"	"1/31"	"25/10654"	0.0703349933722309	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-5654708"	"Downstream signaling of activated FGFR3"	"1/31"	"25/10654"	0.0703349933722309	0.202564780912025	0.168803984093354	"2249"	1
"R-HSA-69273"	"Cyclin A/B1/B2 associated events during G2/M transition"	"1/31"	"25/10654"	0.0703349933722309	0.202564780912025	0.168803984093354	"993"	1
"R-HSA-1538133"	"G0 and Early G1"	"1/31"	"27/10654"	0.0757501669867932	0.209769693194196	0.17480807766183	"993"	1
"R-HSA-264876"	"Insulin processing"	"1/31"	"27/10654"	0.0757501669867932	0.209769693194196	0.17480807766183	"3798"	1
"R-HSA-5654716"	"Downstream signaling of activated FGFR4"	"1/31"	"27/10654"	0.0757501669867932	0.209769693194196	0.17480807766183	"2249"	1
"R-HSA-76071"	"RNA Polymerase III Transcription Initiation From Type 3 Promoter"	"1/31"	"28/10654"	0.0784462942873867	0.214272933426532	0.178560777855443	"6619"	1
"R-HSA-69242"	"S Phase"	"2/31"	"161/10654"	0.0793603457135302	0.214272933426532	0.178560777855443	"51659/993"	2
"R-HSA-5654732"	"Negative regulation of FGFR3 signaling"	"1/31"	"29/10654"	0.0811348097096615	0.214731528748879	0.178942940624066	"2249"	1
"R-HSA-3928663"	"EPHA-mediated growth cone collapse"	"1/31"	"30/10654"	0.0838157340295677	0.214731528748879	0.178942940624066	"25791"	1
"R-HSA-4090294"	"SUMOylation of intracellular receptors"	"1/31"	"30/10654"	0.0838157340295677	0.214731528748879	0.178942940624066	"10401"	1
"R-HSA-5654696"	"Downstream signaling of activated FGFR2"	"1/31"	"30/10654"	0.0838157340295677	0.214731528748879	0.178942940624066	"2249"	1
"R-HSA-1839124"	"FGFR1 mutant receptor activation"	"1/31"	"31/10654"	0.0864890879682987	0.214731528748879	0.178942940624066	"2249"	1
"R-HSA-5654687"	"Downstream signaling of activated FGFR1"	"1/31"	"31/10654"	0.0864890879682987	0.214731528748879	0.178942940624066	"2249"	1
"R-HSA-5654733"	"Negative regulation of FGFR4 signaling"	"1/31"	"31/10654"	0.0864890879682987	0.214731528748879	0.178942940624066	"2249"	1
"R-HSA-69190"	"DNA strand elongation"	"1/31"	"32/10654"	0.0891548921924336	0.218834735381428	0.182362279484523	"51659"	1
"R-HSA-1839126"	"FGFR2 mutant receptor activation"	"1/31"	"33/10654"	0.0918131673140707	0.22035160155377	0.183626334628141	"2249"	1
"R-HSA-5654726"	"Negative regulation of FGFR1 signaling"	"1/31"	"33/10654"	0.0918131673140707	0.22035160155377	0.183626334628141	"2249"	1
"R-HSA-5654727"	"Negative regulation of FGFR2 signaling"	"1/31"	"34/10654"	0.0944639338909716	0.222443379423126	0.185369482852605	"2249"	1
"R-HSA-8953750"	"Transcriptional Regulation by E2F6"	"1/31"	"35/10654"	0.0971072124266948	0.222443379423126	0.185369482852605	"80012"	1
"R-HSA-3108232"	"SUMO E3 ligases SUMOylate target proteins"	"2/31"	"182/10654"	0.0977944767664579	0.222443379423126	0.185369482852605	"10401/80012"	2
"R-HSA-76046"	"RNA Polymerase III Transcription Initiation"	"1/31"	"36/10654"	0.0997430233707357	0.222443379423126	0.185369482852605	"6619"	1
"R-HSA-176187"	"Activation of ATR in response to replication stress"	"1/31"	"37/10654"	0.102371387118665	0.222443379423126	0.185369482852605	"993"	1
"R-HSA-5685938"	"HDR through Single Strand Annealing (SSA)"	"1/31"	"37/10654"	0.102371387118665	0.222443379423126	0.185369482852605	"2067"	1
"R-HSA-2990846"	"SUMOylation"	"2/31"	"188/10654"	0.103270769064809	0.222443379423126	0.185369482852605	"10401/80012"	2
"R-HSA-5655302"	"Signaling by FGFR1 in disease"	"1/31"	"38/10654"	0.104992324012262	0.222443379423126	0.185369482852605	"2249"	1
"R-HSA-8939243"	"RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known"	"1/31"	"38/10654"	0.104992324012262	0.222443379423126	0.185369482852605	"80012"	1
"R-HSA-2467813"	"Separation of Sister Chromatids"	"2/31"	"190/10654"	0.105115248290264	0.222443379423126	0.185369482852605	"79019/1060"	2
"R-HSA-72172"	"mRNA Splicing"	"2/31"	"191/10654"	0.106040967637539	0.222443379423126	0.185369482852605	"11066/6432"	2
"R-HSA-5654741"	"Signaling by FGFR3"	"1/31"	"40/10654"	0.110211998335461	0.222443379423126	0.185369482852605	"2249"	1
"R-HSA-6783310"	"Fanconi Anemia Pathway"	"1/31"	"40/10654"	0.110211998335461	0.222443379423126	0.185369482852605	"2067"	1
"R-HSA-5654743"	"Signaling by FGFR4"	"1/31"	"41/10654"	0.112810776180911	0.222443379423126	0.185369482852605	"2249"	1
"R-HSA-5696400"	"Dual Incision in GG-NER"	"1/31"	"41/10654"	0.112810776180911	0.222443379423126	0.185369482852605	"2067"	1
"R-HSA-74158"	"RNA Polymerase III Transcription"	"1/31"	"41/10654"	0.112810776180911	0.222443379423126	0.185369482852605	"6619"	1
"R-HSA-749476"	"RNA Polymerase III Abortive And Retractive Initiation"	"1/31"	"41/10654"	0.112810776180911	0.222443379423126	0.185369482852605	"6619"	1
"R-HSA-8853659"	"RET signaling"	"1/31"	"41/10654"	0.112810776180911	0.222443379423126	0.185369482852605	"85358"	1
"R-HSA-68877"	"Mitotic Prometaphase"	"2/31"	"200/10654"	0.114473233461017	0.222443379423126	0.185369482852605	"79019/1060"	2
"R-HSA-2426168"	"Activation of gene expression by SREBF (SREBP)"	"1/31"	"42/10654"	0.115402208003995	0.222443379423126	0.185369482852605	"9453"	1
"R-HSA-379724"	"tRNA Aminoacylation"	"1/31"	"42/10654"	0.115402208003995	0.222443379423126	0.185369482852605	"10056"	1
"R-HSA-68882"	"Mitotic Anaphase"	"2/31"	"201/10654"	0.115420989611019	0.222443379423126	0.185369482852605	"79019/1060"	2
"R-HSA-2555396"	"Mitotic Metaphase and Anaphase"	"2/31"	"202/10654"	0.116370842013024	0.222443379423126	0.185369482852605	"79019/1060"	2
"R-HSA-5655253"	"Signaling by FGFR2 in disease"	"1/31"	"43/10654"	0.117986313879596	0.223553015771866	0.186294179809888	"2249"	1
"R-HSA-109704"	"PI3K Cascade"	"1/31"	"44/10654"	0.120563113829623	0.226448979019118	0.188707482515931	"2249"	1
"R-HSA-4615885"	"SUMOylation of DNA replication proteins"	"1/31"	"45/10654"	0.123132627823146	0.229281444912065	0.191067870760054	"10401"	1
"R-HSA-1660662"	"Glycosphingolipid metabolism"	"1/31"	"46/10654"	0.125694875776533	0.230085535319756	0.191737946099796	"2717"	1
"R-HSA-5576892"	"Phase 0 - rapid depolarisation"	"1/31"	"46/10654"	0.125694875776533	0.230085535319756	0.191737946099796	"6323"	1
"R-HSA-4570464"	"SUMOylation of RNA binding proteins"	"1/31"	"47/10654"	0.128249877553581	0.232789693710702	0.193991411425585	"80012"	1
"R-HSA-112399"	"IRS-mediated signalling"	"1/31"	"48/10654"	0.130797652965652	0.235435775338174	0.196196479448478	"2249"	1
"R-HSA-5689880"	"Ub-specific processing proteases"	"2/31"	"220/10654"	0.133805197254719	0.238858864520821	0.199049053767351	"11047/993"	2
"R-HSA-5654736"	"Signaling by FGFR1"	"1/31"	"50/10654"	0.135871603678932	0.240559560611879	0.2004663005099	"2249"	1
"R-HSA-2428928"	"IRS-related events triggered by IGF1R"	"1/31"	"52/10654"	0.140916885363615	0.241571803480482	0.201309836233735	"2249"	1
"R-HSA-69601"	"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A"	"1/31"	"52/10654"	0.140916885363615	0.241571803480482	0.201309836233735	"993"	1
"R-HSA-69610"	"p53-Independent DNA Damage Response"	"1/31"	"52/10654"	0.140916885363615	0.241571803480482	0.201309836233735	"993"	1
"R-HSA-69613"	"p53-Independent G1/S DNA damage checkpoint"	"1/31"	"52/10654"	0.140916885363615	0.241571803480482	0.201309836233735	"993"	1
"R-HSA-2428924"	"IGF1R signaling cascade"	"1/31"	"53/10654"	0.1434288242953	0.243941937384133	0.203284947820111	"2249"	1
"R-HSA-2404192"	"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)"	"1/31"	"54/10654"	0.14593365463648	0.244354026368059	0.203628355306716	"2249"	1
"R-HSA-74751"	"Insulin receptor signalling cascade"	"1/31"	"54/10654"	0.14593365463648	0.244354026368059	0.203628355306716	"2249"	1
"R-HSA-1655829"	"Regulation of cholesterol biosynthesis by SREBP (SREBF)"	"1/31"	"55/10654"	0.148431395835184	0.244741843514503	0.203951536262086	"9453"	1
