"SYMBOL"	"ENTREZID"
"POLD3"	"10714"
"PPP6R3"	"55291"
"FCHSD2"	"9873"
"NCAPD3"	"23310"
"TTC17"	"55761"
"TAF6L"	"10629"
"KAT5"	"10524"
"SRPRA"	"6734"
"GTF2H1"	"2965"
"KMT5B"	"51111"
"MRPL16"	"54948"
"BACE1"	"23621"
"MRPL23"	"6150"
"ARHGAP1"	"392"
"NUP160"	"23279"
"MEN1"	"4221"
"MUS81"	"80198"
"ELP4"	"26610"
"AMBRA1"	"55626"
"THAP12"	"5612"
"DDX10"	"1662"
"ZPR1"	"8882"
"FGF4"	"2249"
"PTPMT1"	"114971"
"ASCL2"	"430"
"YAP1"	"10413"
"PRMT3"	"10196"
"CHKA"	"1119"
"SHANK2"	"22941"
"FDX1"	"2230"
"LTO1"	"220064"
"HSPA4"	"3308"
"LCP2"	"3937"
"LMNB1"	"4001"
"OTULIN"	"90268"
"CDH9"	"1007"
"RAD1"	"5810"
"MAP3K1"	"4214"
"SSBP2"	"23635"
"AFF4"	"27125"
"CTNNA1"	"1495"
"NDFIP1"	"80762"
"SLU7"	"10569"
"PPWD1"	"23398"
"TRAPPC13"	"80006"
"CHD1"	"1105"
"KCNN2"	"3781"
"SKP2"	"6502"
"RAPGEF6"	"51735"
"AC008695.1"	NA
"FNIP1"	"96459"
"TTC1"	"7265"
"ZNF608"	"57507"
"TCERG1"	"10915"
"PDGFRB"	"5159"
"DBN1"	"1627"
"TENT4A"	"11044"
"RASGRF2"	"5924"
"CYFIP2"	"26999"
"HTR1A"	"3350"
"NDST1"	"3340"
"EPS8"	"2059"
"RIC8B"	"55188"
"KMT5A"	"387893"
"C12orf45"	"121053"
"NELL2"	"4753"
"SSH1"	"54434"
"RACGAP1"	"29127"
"GRIP1"	"23426"
"PLEKHA5"	"54477"
"DDX23"	"9416"
"GRASP"	"160622"
"PRR13"	"54458"
"SOX5"	"6660"
"HOXC6"	"3223"
"KIF5A"	"3798"
"SNRNP35"	"11066"
"RFX4"	"5992"
"GTF2H3"	"2967"
"ULK1"	"8408"
"INTS13"	"55726"
"NAPA"	"8775"
"GADD45GIP1"	"90480"
"MYO9B"	"4650"
"GATAD2A"	"54815"
"DPP9"	"91039"
"BRSK1"	"84446"
"WIZ"	"58525"
"JAK3"	"3718"
"ANGPTL6"	"83854"
"SGTA"	"6449"
"GRIK5"	"2901"
"SAFB2"	"9667"
"MAP2K7"	"5609"
"EPS15L1"	"58513"
"RPS19"	"6223"
"RFX1"	"5989"
"SCAMP4"	"113178"
"ZNF296"	"162979"
"ERCC1"	"2067"
"SAMD4B"	"55095"
"HNRNPM"	"4670"
"PIK3R2"	"5296"
"DMAC2"	"55101"
"DDX39A"	"10212"
"MAU2"	"23383"
"UBA2"	"10054"
"POU2F2"	"5452"
"MARK4"	"57787"
"ADD3"	"120"
"DKK1"	"22943"
"BCCIP"	"56647"
"GRID1"	"2894"
"HERC4"	"26091"
"SFMBT2"	"57713"
"BLNK"	"29760"
"MLLT10"	"8028"
"ABLIM1"	"3983"
"CNNM2"	"54805"
"SHANK3"	"85358"
"PRR5"	"55615"
"CELSR1"	"9620"
"MYH9"	"4627"
"CACNA1I"	"8911"
"PHF21B"	"112885"
"PRR14L"	"253143"
"DEPDC5"	"9681"
"MCM5"	"4174"
"BRD1"	"23774"
"LIF"	"3976"
"LARGE1"	"9215"
"TNRC6B"	"23112"
"HIC2"	"23119"
"SPECC1L"	"23384"
"CENPM"	"79019"
"THAP7"	"80764"
"GGA1"	"26088"
"LSM1"	"27257"
"RPL8"	"6132"
"YTHDF3"	"253943"
"ATAD2"	"29028"
"RB1CC1"	"9821"
"IKBKB"	"3551"
"OSR2"	"116039"
"MTERF3"	"51001"
"MRPL15"	"29088"
"XKR4"	"114786"
"MRPS28"	"28957"
"WWP1"	"11059"
"EIF3H"	"8667"
"GINS4"	"84296"
"INTS8"	"55656"
"PHF20L1"	"51105"
"TASP1"	"55617"
"SLC24A3"	"57419"
"TPX2"	"22974"
"WFDC2"	"10406"
"SALL4"	"57167"
"GNAS"	"2778"
"AHCY"	"191"
"PPP1R16B"	"26051"
"YWHAB"	"7529"
"AURKA"	"6790"
"DLGAP4"	"22839"
"PHACTR3"	"116154"
"ADRM1"	"11047"
"PCSK2"	"5126"
"TTI1"	"9675"
"DNMT3B"	"1789"
"SYCP2"	"10388"
"XRN2"	"22803"
"SRC"	"6714"
"RALGAPB"	"57148"
"TEDC2"	"80178"
"IRF8"	"3394"
"FBXL16"	"146330"
"SF3B3"	"23450"
"CCNF"	"899"
"TAOK2"	"9344"
"CIAO3"	"64428"
"ORAI3"	"93129"
"VPS35"	"55737"
"CIAPIN1"	"57019"
"GINS2"	"51659"
"CASKIN1"	"57524"
"PLK1"	"5347"
"NOB1"	"28987"
"EXOSC6"	"118460"
"JPH3"	"57338"
"RBFOX1"	"54715"
"ANKRD50"	"57182"
"NFKB1"	"4790"
"ZNF827"	"152485"
"LEF1"	"51176"
"HAND2"	"9464"
"STOX2"	"56977"
"ATOH1"	"474"
"ANK2"	"287"
"MRPS18C"	"51023"
"FBXL5"	"26234"
"REST"	"5978"
"COPS4"	"51138"
"OTUD4"	"54726"
"CENPC"	"1060"
"ADGRL3"	"23284"
"HNRNPDL"	"9987"
"BEND4"	"389206"
"HNRNPD"	"3184"
"ADGRB2"	"576"
"ADGRL2"	"23266"
"ASH1L"	"55870"
"ASTN1"	"460"
"AURKAIP1"	"54998"
"BCAR3"	"8412"
"CNST"	"163882"
"DNTTIP2"	"30836"
"EGLN1"	"54583"
"GGPS1"	"9453"
"LBR"	"3930"
"MAD2L2"	"10459"
"MDM4"	"4194"
"MRPS21"	"54460"
"MYBPHL"	"343263"
"NDC1"	"55706"
"OTUD7B"	"56957"
"PIAS3"	"10401"
"PIK3CD"	"5293"
"PRPF38B"	"55119"
"PTPN14"	"5784"
"PTPRU"	"10076"
"RRP15"	"51018"
"RUSC1"	"23623"
"SFPQ"	"6421"
"TUT4"	"23318"
"UCHL5"	"51377"
"USP24"	"23358"
"ZNF281"	"23528"
"ABCD3"	"5825"
"AJAP1"	"55966"
"DHCR24"	"1718"
"DMAP1"	"55929"
