sample	region
AS006	GREP
AS054	GREP
AS064	GREP
AS074	GREP
AS090	GREP
AS094	GREP
HGDP00511	HGDP
HGDP00512	HGDP
HGDP00513	HGDP
HGDP00514	HGDP
HGDP00515	HGDP
HGDP00516	HGDP
HGDP00517	HGDP
HGDP00518	HGDP
HGDP00519	HGDP
HGDP00520	HGDP
HGDP00522	HGDP
HGDP00523	HGDP
HGDP00524	HGDP
HGDP00525	HGDP
HGDP00527	HGDP
HGDP00528	HGDP
HGDP00529	HGDP
HGDP00531	HGDP
HGDP00534	HGDP
HGDP00535	HGDP
HGDP00536	HGDP
HGDP00537	HGDP
HGDP00538	HGDP
HGDP00539	HGDP
HGDP00666	HGDP
HGDP00667	HGDP
HGDP00668	HGDP
HGDP00669	HGDP
HGDP00670	HGDP
HGDP00671	HGDP
HGDP00672	HGDP
HGDP00673	HGDP
HGDP00674	HGDP
HGDP00794	HGDP
HGDP00795	HGDP
HGDP00797	HGDP
HGDP00799	HGDP
HGDP00800	HGDP
HGDP00802	HGDP
HGDP00803	HGDP
HGDP00804	HGDP
HGDP00805	HGDP
HGDP00806	HGDP
HGDP00807	HGDP
HGDP00808	HGDP
HGDP00810	HGDP
HGDP00879	HGDP
HGDP00880	HGDP
HGDP00881	HGDP
HGDP00882	HGDP
HGDP00883	HGDP
HGDP00884	HGDP
HGDP00885	HGDP
HGDP00886	HGDP
HGDP00888	HGDP
HGDP00889	HGDP
HGDP00890	HGDP
HGDP00891	HGDP
HGDP00892	HGDP
HGDP00893	HGDP
HGDP00894	HGDP
HGDP00895	HGDP
HGDP00896	HGDP
HGDP00897	HGDP
HGDP00898	HGDP
HGDP00899	HGDP
HGDP00900	HGDP
HGDP00901	HGDP
HGDP00902	HGDP
HGDP01062	HGDP
HGDP01063	HGDP
HGDP01064	HGDP
HGDP01065	HGDP
HGDP01066	HGDP
HGDP01067	HGDP
HGDP01068	HGDP
HGDP01069	HGDP
HGDP01070	HGDP
HGDP01071	HGDP
HGDP01072	HGDP
HGDP01073	HGDP
HGDP01074	HGDP
HGDP01075	HGDP
HGDP01077	HGDP
HGDP01149	HGDP
HGDP01151	HGDP
HGDP01152	HGDP
HGDP01155	HGDP
HGDP01156	HGDP
HGDP01157	HGDP
HGDP01161	HGDP
HGDP01162	HGDP
HGDP01164	HGDP
HGDP01166	HGDP
HGDP01167	HGDP
HGDP01169	HGDP
HGDP01171	HGDP
HGDP01173	HGDP
HGDP01174	HGDP
HGDP01177	HGDP
HGDP01357	HGDP
HGDP01358	HGDP
HGDP01359	HGDP
HGDP01360	HGDP
HGDP01361	HGDP
HGDP01362	HGDP
HGDP01363	HGDP
HGDP01366	HGDP
HGDP01367	HGDP
HGDP01368	HGDP
HGDP01369	HGDP
HGDP01370	HGDP
HGDP01371	HGDP
HGDP01372	HGDP
HGDP01373	HGDP
HGDP01374	HGDP
HGDP01375	HGDP
HGDP01376	HGDP
HGDP01377	HGDP
HGDP01378	HGDP
HGDP01379	HGDP
HGDP01380	HGDP
HGDP01381	HGDP
HGDP01382	HGDP
HGDP01383	HGDP
HGDP01384	HGDP
HGDP01385	HGDP
HGDP01386	HGDP
HGDP01387	HGDP
HGDP01388	HGDP
HGDP01396	HGDP
HGDP01397	HGDP
HGDP01398	HGDP
HGDP01399	HGDP
HGDP01400	HGDP
HGDP01403	HGDP
HGDP01404	HGDP
