Chr	SNV_mean	Indel_mean	SequenceAlt_mean	Insertion_mean	transcript_ablation	splice_acceptor_variant	splice_donor_variant	stop_gained	frameshift_variant	stop_lost	start_lost	transcript_amplification	inframe_insertion	inframe_deletion	missense_variant	protein_altering_variant	splice_region_variant	incomplete_terminal_codon_variant	start_retained_variant	stop_retained_variant	synonymous_variant	coding_sequence_variant	mature_miRNA_variant	5_prime_UTR_variant	3_prime_UTR_variant	non_coding_transcript_exon_variant	intron_variant	NMD_transcript_variant	non_coding_transcript_variant	upstream_gene_variant	downstream_gene_variant	TFBS_ablation	TFBS_amplification	TF_binding_site_variant	regulatory_region_ablation	regulatory_region_amplification	feature_elongation	regulatory_region_variant	feature_truncation	intergenic_variant	pop
chr1 	0.277965999046887	0.0736639980111272	0.123294849023091	0.133668061366806	0	0.348846153846154	0.0222222222222222	0.109242424242424	0.0053125	0.326	0.13375	0	0.0328947368421053	0.02	0.241847581973349	0	0	0	0	0.35	0.265601313449171	0.384	0.0228571428571429	0.275601648351649	0.254807338323717	0.252774837828608	0.255296514455841	0	0.75	0.245132450587137	0.249497700674595	0	0	0.233684922521929	0	0	0	0.252515362163028	0	0.259432171403238	HGDP
chr1 	0.274931871668491	0.0731745018528475	0.131039076376554	0.141182008368201	0	0.348846153846154	0.0502777777777778	0.0866666666666667	0.0175	0.265	0.145	0	0.0218421052631579	0.01	0.243829914657882	0	0	0	0	0.098	0.272044055274317	0.384	0.0942857142857143	0.277898351648352	0.258015707448765	0.256366507340386	0.250070472282545	0	0.83	0.247016905131891	0.248779639289728	0	0	0.234181766008031	0	0	0	0.25183680262185	0	0.259607955321822	HGDP
chr1 	0.27685609136293	0.0745013824823074	0.118916518650089	0.1377649930265	0	0.405	0.0311111111111111	0.11	0.0103125	0.257	0.125	0	0.0328947368421053	0.0425	0.246655187902379	0	0	0	0	0.098	0.270989191407851	0.416	0.0228571428571429	0.272848901098902	0.261020984169834	0.257286616592691	0.253135836805283	0	1	0.24667149780865	0.250224179405335	0	0	0.235299253914896	0	0	0	0.252913626238617	0	0.2600853087854	HGDP
chr1 	0.279218184874763	0.0751433380480181	0.118410301953819	0.133535564853557	0	0.355384615384615	0.0975	0.0810606060606061	0.0025	0.317	0.125	0	0.0394736842105263	0.06375	0.248933972151517	0	0	0	0	0.132	0.270773019564919	0.384	0.0357142857142857	0.280502747252748	0.260387777641427	0.25847814953909	0.254040407351491	0	0.92	0.249123746801834	0.25338516307647	0	0	0.233913257358364	0	0	0	0.25537438871396	0	0.262303721478389	HGDP
chr1 	0.274625805742214	0.0670793507876768	0.113694493783304	0.115170850767085	0	0.397692307692308	0.0525	0.083939393939394	0.013125	0.275	0.1675	0	0.035	0	0.240648300643808	0	0	0	0	0.232	0.267671364071693	0.332	0.0228571428571429	0.275326923076923	0.262078169100499	0.253782861044722	0.249831391044789	0	0.58	0.244624639596871	0.247662140090957	0	0	0.232777322292364	0	0	0	0.251095770284495	0	0.257362003005919	HGDP
chr1 	0.276983876244431	0.072757405435208	0.116119005328597	0.130812412831241	0	0.346923076923077	0.0266666666666667	0.0815151515151515	0.0025	0.324	0.1675	0	0.0307894736842105	0.02	0.240537505614614	0	0	0	0	0.234	0.261888083185115	0.384	0.0585714285714286	0.277873626373627	0.255463247024174	0.254078183680436	0.254965609864279	0	0.75	0.246609659191953	0.247370390248272	0	0	0.231512257112402	0	0	0	0.252335176792935	0	0.258060826274143	HGDP
chr1 	0.27677448855405	0.0716522595102509	0.106625222024867	0.1392119944212	0	0.34	0.0686111111111111	0.102272727272727	0	0.307	0.145	0	0.0305263157894737	0.0425	0.248724359934121	0	0	0	0	0.264	0.268252838965657	0.366	0.0342857142857143	0.274087912087913	0.259042827340776	0.255488648002729	0.253121867134493	0	0.67	0.245411188151787	0.250223870511947	0	0	0.234451914405179	0	0	0	0.253150267557714	0	0.260487771553538	HGDP
chr1 	0.273356102875876	0.0654767800089485	0.102859680284192	0.126283124128312	0	0.324230769230769	0.0480555555555555	0.0837878787878788	0.0053125	0.309	0.1675	0	0.0352631578947368	0.01	0.243331337026499	0.08	0	0	0	0.42	0.265375564372689	0.368	0.0228571428571429	0.282469780219781	0.258242115597004	0.251914049163534	0.249308506587992	0	0.58	0.243200496254955	0.245324511851911	0	0	0.230342297286215	0	0	0	0.249208912614932	0	0.257780477182715	HGDP
chr1 	0.276476785797014	0.0730457613395725	0.118872113676732	0.133162482566248	0	0.387307692307692	0.0488888888888889	0.0881818181818182	0	0.275	0.12375	0	0.0197368421052632	0.03	0.247418775265756	0.08	0	0	0	0.216	0.270210699138049	0.35	0.0357142857142857	0.282994505494506	0.262319916554176	0.255940594059403	0.253061853598333	0	0.58	0.246167938223289	0.250427045164143	0	0	0.233859145691561	0	0	0	0.253044012597029	0	0.259882924579922	HGDP
chr1 	0.277429852560568	0.0692913560421215	0.0991474245115452	0.124979079497908	0	0.381538461538462	0.0613888888888889	0.0968181818181819	0.013125	0.358	0.115	0	0.0371052631578947	0.02	0.247549034286569	0	0	0	0	0.264	0.271406485155286	0.416	0.0471428571428571	0.273978021978023	0.262365934470484	0.256078439740524	0.254038366362497	0	0.83	0.246341859332674	0.250915907625498	0	0	0.233823891120764	0	0	0	0.253412256445754	0	0.258433144896911	HGDP
