file_name	chr	lows	ups
range_chr6_85249910_85953682.py	chr6	85249910	85953682
range_chr3_11593967_12297800.py	chr3	11593967	12297800
range_chrX_82235177_82939498.py	chrX	82235177	82939498
range_chr8_22202041_22905098.py	chr8	22202041	22905098
range_chr5_65184579_65889270.py	chr5	65184579	65889270
range_chr5_100327221_101006282.py	chr5	100327221	101006282
range_chr4_182013176_182692089.py	chr4	182013176	182692089
range_chr7_35467925_36170993.py	chr7	35467925	36170993
range_chr4_24291937_24993984.py	chr4	24291937	24993984
range_chr7_17905571_18607139.py	chr7	17905571	18607139
range_chr19_22941236_23625617.py	chr19	22941236	23625617
range_chr1_13257381_13961002.py	chr1	13257381	13961002
range_chr2_76969409_77670303.py	chr2	76969409	77670303
range_chr20_19507310_20188413.py	chr20	19507310	20188413
range_chr12_26284112_26966785.py	chr12	26284112	26966785
range_chr11_42019244_42699717.py	chr11	42019244	42699717
range_chr2_112662921_113343862.py	chr2	112662921	113343862
range_chr14_68218643_68901598.py	chr14	68218643	68901598
range_chrY_25196060_25904563.py	chrY	25196060	25904563
range_chr17_47771881_48457016.py	chr17	47771881	48457016
range_chr1_8951295_9677844.py	chr1	8951295	9677844
range_chr2_27750144_28453689.py	chr2	27750144	28453689
range_chr12_9208062_9913915.py	chr12	9208062	9913915
range_chr11_60813267_61495992.py	chr11	60813267	61495992
range_chr14_16703335_17391507.py	chr14	16703335	17391507
range_chr11_2207249_2911764.py	chr11	2207249	2911764
range_chr10_5659519_6363607.py	chr10	5659519	6363607
range_chr10_48533135_49213899.py	chr10	48533135	49213899
range_chr3_179112285_179793456.py	chr3	179112285	179793456
range_chr10_62163172_62845839.py	chr10	62163172	62845839
range_chr2_229067937_229746905.py	chr2	229067937	229746905
range_chr13_46872530_47554056.py	chr13	46872530	47554056
range_chr3_119921912_120604757.py	chr3	119921912	120604757
range_chr1_119557899_120238503.py	chr1	119557899	120238503
range_chr4_124239801_124919851.py	chr4	124239801	124919851
range_chr20_7850871_8554661.py	chr20	7850871	8554661
range_chr5_108476871_109156859.py	chr5	108476871	109156859
range_chr8_82020330_82722119.py	chr8	82020330	82722119
range_chr2_27043321_27750144.py	chr2	27043321	27750144
range_chr3_64994440_65695644.py	chr3	64994440	65695644
range_chrX_23900432_24605958.py	chrX	23900432	24605958
range_chr7_129026374_129708911.py	chr7	129026374	129708911
range_chr16_7075184_7774249.py	chr16	7075184	7774249
range_chr9_132134610_132816577.py	chr9	132134610	132816577
range_chr10_114250791_114911164.py	chr10	114250791	114911164
range_chr15_56911717_57593192.py	chr15	56911717	57593192
range_chr1_69590660_70293298.py	chr1	69590660	70293298
range_chr12_25601666_26284112.py	chr12	25601666	26284112
range_chrX_85758184_86462414.py	chrX	85758184	86462414
range_chr8_63751475_64453271.py	chr8	63751475	64453271
range_chr1_66779783_67483913.py	chr1	66779783	67483913
range_chr2_10001_764649.py	chr2	10001	764649
range_chr4_37629011_38330893.py	chr4	37629011	38330893
range_chr2_216142142_216822672.py	chr2	216142142	216822672
range_chr16_30388164_31072200.py	chr16	30388164	31072200
range_chr10_94232868_94914153.py	chr10	94232868	94914153
range_chr5_60262858_60966129.py	chr5	60262858	60966129
range_chr8_126833603_127512049.py	chr8	126833603	127512049
range_chr9_10001_766923.py	chr9	10001	766923
range_chr9_110982352_111665501.py	chr9	110982352	111665501
range_chr17_44351401_45035588.py	chr17	44351401	45035588
range_chr3_29851432_30552169.py	chr3	29851432	30552169
range_chr11_22255458_22936274.py	chr11	22255458	22936274
range_chrX_2539764_3265962.py	chrX	2539764	3265962
range_chr3_92430062_93141172.py	chr3	92430062	93141172
range_chr2_222949828_223629453.py	chr2	222949828	223629453
range_chr8_98929684_99633417.py	chr8	98929684	99633417
range_chr22_43738294_44418675.py	chr22	43738294	44418675
range_chrX_108055792_108737773.py	chrX	108055792	108737773
range_chr2_44614336_45318482.py	chr2	44614336	45318482
range_chr10_121521205_122181572.py	chr10	121521205	122181572
range_chr7_143310866_144043176.py	chr7	143310866	144043176
range_chr12_29696737_30378218.py	chr12	29696737	30378218
range_chr11_44064957_44746495.py	chr11	44064957	44746495
range_chr5_149952059_150632496.py	chr5	149952059	150632496
range_chr11_52516993_53205164.py	chr11	52516993	53205164
range_chr20_8554662_9259018.py	chr20	8554662	9259018
range_chr6_120459533_121139457.py	chr6	120459533	121139457
range_chr13_95998602_96680416.py	chr13	95998602	96680416
range_chr18_63987506_64668360.py	chr18	63987506	64668360
range_chr12_103416374_104077938.py	chr12	103416374	104077938
range_chr2_173232789_173914251.py	chr2	173232789	173914251
range_chrX_60328976_61040187.py	chrX	60328976	61040187
range_chr2_15096227_15797591.py	chr2	15096227	15797591
range_chr13_107338857_107997605.py	chr13	107338857	107997605
range_chr7_10001_765978.py	chr7	10001	765978
range_chr14_73680096_74363957.py	chr14	73680096	74363957
range_chr11_62862920_63544259.py	chr11	62862920	63544259
range_chr9_24985868_25688622.py	chr9	24985868	25688622
range_chr17_81201771_81936291.py	chr17	81201771	81936291
range_chr2_237904694_238585711.py	chr2	237904694	238585711
range_chr13_91230259_91910822.py	chr13	91230259	91910822
range_chr2_85397449_86102057.py	chr2	85397449	86102057
range_chr6_143566918_144247454.py	chr6	143566918	144247454
range_chr4_148040557_148719828.py	chr4	148040557	148719828
range_chr9_38377393_39083376.py	chr9	38377393	39083376
range_chr18_62624125_63305631.py	chr18	62624125	63305631
range_chr5_39004866_39706707.py	chr5	39004866	39706707
range_chr1_186730298_187409321.py	chr1	186730298	187409321
range_chr2_105170388_105849803.py	chr2	105170388	105849803
range_chr9_136903309_137586187.py	chr9	136903309	137586187
