type n muZFreq sdZFreq ci90ZFreq ci95ZFreq ci99ZFreq
transcript_ablation 0 nan nan nan nan nan
splice_acceptor_variant 28 -0.16801358316356438 1.0472844599909152 0.3255753723867279 0.38791959263099496 0.5098371788864505
splice_donor_variant 36 -0.17877368517841088 1.0458131561886572 0.2867271069883902 0.3416322976882947 0.44900244839033016
stop_gained 14 -0.4254384866132811 0.7106173639545398 0.3124191883087138 0.3722441392614462 0.4892351544579008
frameshift_variant 0 nan nan nan nan nan
stop_lost 9 -0.30819091744088273 1.0039247219592236 0.550485389207641 0.6558974850133594 0.8620366945889867
start_lost 3 0.08180089602614815 0.6610510661397137 0.6278274280684379 0.7480497015283515 0.9831510362944049
transcript_amplification 0 nan nan nan nan nan
inframe_insertion 0 nan nan nan nan nan
inframe_deletion 0 nan nan nan nan nan
missense_variant 1066 -0.13203909814830783 0.9725247072251204 0.04899908198383414 0.05838188491690876 0.0767304773193658
protein_altering_variant 0 nan nan nan nan nan
splice_region_variant 449 -0.17719817342354616 0.9616005765343864 0.07465131233607766 0.08894624448553934 0.11690077846670886
incomplete_terminal_codon_variant 0 nan nan nan nan nan
start_retained_variant 0 nan nan nan nan nan
stop_retained_variant 2 0.40091630570191555 0.0 0.0 0.0 0.0
synonymous_variant 1039 -0.1575816829378124 0.9495348170560418 0.04845839462875982 0.05773766168533084 0.07588378392929197
coding_sequence_variant 0 nan nan nan nan nan
mature_miRNA_variant 4 nan nan nan nan nan
5_prime_UTR_variant 919 -0.17625950385936645 0.9650117277204409 0.05236495539329684 0.06239228727711964 0.08200129184992867
3_prime_UTR_variant 3882 -0.16498547951127157 0.9577766311900926 0.025287294895094722 0.03012954285372988 0.03959882775061642
non_coding_transcript_exon_variant 8753 -0.18598368587269926 0.940703264957422 0.016540174588921104 0.01970744206339536 0.0259012095690339
intron_variant 283174 -0.17370863988896257 0.9613575410168598 0.0029718312956587955 0.0035409053735509055 0.004653761348095476
NMD_transcript_variant 0 nan nan nan nan nan
non_coding_transcript_variant 0 nan nan nan nan nan
upstream_gene_variant 19972 -0.17309666009020883 0.9513503712389184 0.011073772971107346 0.013194282688978966 0.017341057248372354
downstream_gene_variant 18426 -0.18578067789381322 0.9485989091997671 0.011495635630209639 0.013696927559398718 0.01800167622092403
TFBS_ablation 0 nan nan nan nan nan
TFBS_amplification 0 nan nan nan nan nan
TF_binding_site_variant 1138 -0.15829209855258589 0.9345156508532589 0.04557024362654472 0.05429646049120222 0.07136106235986578
regulatory_region_ablation 0 nan nan nan nan nan
regulatory_region_amplification 0 nan nan nan nan nan
feature_elongation 0 nan nan nan nan nan
regulatory_region_variant 18488 -0.17226397567196958 0.9634912520489207 0.011656514598270617 0.013888613138364989 0.018253605838993985
feature_truncation 0 nan nan nan nan nan
intergenic_variant 204457 -0.15453582454847015 0.9701210556001546 0.003529318404692983 0.0042051453332512135 0.00552676243798731
